Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
143,"team957 杭州第二中学",5,08:08:40,,"03:47:42 (-2)",,(-2),(-6),00:44:45,,01:26:06,,,"00:24:31 (-2)",,00:25:36
144,"team530 厦门大学",5,08:16:21,,"01:51:20 (-5)",,,(-12),00:37:22,,01:02:10,,,"00:30:49 (-2)",,01:54:40
145,"team1010 杭州电子科技大学",5,08:19:22,,"01:43:27 (-4)",,,(-3),01:00:15,,03:09:49,,(-4),00:31:41,,00:34:10
146,"team936 东北大学秦皇岛分校",5,08:20:11,,"01:23:36 (-6)",,,(-11),"00:49:13 (-1)",,"02:05:02 (-1)",,,"00:28:14 (-1)",,00:34:06
147,"team221 大连海事大学",5,08:31:06,,"02:43:56 (-3)",,(-8),(-3),00:53:16,,"01:37:43 (-2)",,,"00:28:29 (-2)",,00:27:42
148,"team845 四川省成都市第七中学",5,08:34:34,,"02:55:33 (-3)",,,(-5),01:14:59,,"01:19:58 (-1)",,,"00:38:37 (-2)",,00:25:27
149,"team218 浙江理工大学",5,08:50:10,,"01:36:39 (-4)",,,"03:15:54 (-2)","00:53:57 (-1)",,(-1),,,00:14:22,,00:29:18
150,"team312 北京邮电大学",5,08:53:06,,"02:27:04 (-2)",,,(-15),"00:33:33 (-1)",,"02:32:07 (-3)",,,00:20:55,,00:59:27
151,"team1012 杭州电子科技大学",5,09:20:50,,"02:11:27 (-1)",,,,01:20:20,,04:04:17,,,00:22:23,,01:02:23
152,"team939 福建师范大学",5,09:21:16,,"02:47:35 (-5)",,,,"00:35:41 (-2)",,02:28:48,,,"00:20:27 (-2)",,00:08:45
153,"team1009 杭州电子科技大学",5,09:24:16,,"02:00:38 (-2)",,,(-6),01:16:38,,"03:38:25 (-1)",,,"00:17:06 (-1)",,00:51:29
154,"team001 华东师范大学第二附属中学",5,09:25:37,,"01:37:31 (-11)",(-167),,,00:25:54,,02:11:45,,,"00:16:10 (-2)",,00:34:17
155,"team971 天津大学",5,09:37:21,,"02:17:01 (-5)",,(-2),,01:16:57,,02:58:42,,,00:24:32,,01:00:09
156,"team533 电子科技大学",5,09:45:35,,"02:19:14 (-2)",,,,01:17:32,,(-4),,01:29:59,"00:37:27 (-2)",,02:41:23
157,"team229 天津仁爱学院",5,09:46:30,,"03:20:56 (-8)",,,"01:02:01 (-1)",01:05:22,,(-2),,,00:34:30,,00:43:41
158,"team960 浙江师范大学",5,09:50:54,,"02:38:50 (-2)",,,(-11),00:57:17,,04:03:06,,,00:21:59,,01:09:42
159,"team443 杭州师范大学",5,09:52:46,,02:19:34,(-1),,,"02:22:55 (-1)",,"02:58:59 (-1)",,,"00:45:18 (-1)",,00:26:00
160,"team1004 杭州电子科技大学",5,09:56:42,,"02:26:14 (-3)",,,,"00:51:09 (-1)",,"03:08:20 (-1)",,,"00:27:39 (-1)",,01:03:20
161,"team319 北京邮电大学",5,10:08:45,,"02:28:15 (-5)",,,,01:03:28,,03:08:20,,,"00:46:38 (-1)",,00:42:04
162,"team028 武汉大学",5,10:08:46,,"01:05:45 (-3)",,,,"01:25:38 (-1)",,04:01:37,,,"00:42:12 (-2)",,00:53:34
163,"team963 浙江师范大学",5,10:18:47,,"02:07:33 (-1)",,,(-2),00:59:10,,"04:56:48 (-1)",(-1),,00:09:43,,01:25:33
164,"team680 南京大学",5,10:22:18,,"03:48:47 (-4)",,,,00:49:04,,"02:36:31 (-1)",,,"00:19:42 (-1)",,00:48:14
165,"team064 浙江工业大学",5,10:22:57,,"03:52:27 (-4)",,,,"01:23:11 (-1)",,02:40:12,,,00:26:49,,00:20:18
166,"team1011 杭州电子科技大学",5,10:23:52,,"03:22:34 (-5)",,,(-15),01:07:28,,"02:33:03 (-2)",,,00:38:31,,00:22:16
167,"team131 浙大宁波理工学院",5,10:28:49,,"02:55:58 (-1)",,,,"01:42:05 (-1)",,03:45:19,,,00:20:09,,01:05:18
168,"team091 长沙理工大学",5,10:28:56,,"02:57:11 (-2)",,,,"01:45:55 (-2)",,02:29:18,,(-2),"00:35:47 (-1)",,01:00:45
169,"team907 大连理工大学",5,10:35:11,,"04:11:33 (-2)",,,,01:35:57,,02:23:39,,,00:29:58,,01:14:04
170,"team160 山东理工大学",5,10:36:58,,"03:12:47 (-2)",,,,"01:44:18 (-1)",,02:21:45,(-6),,"00:58:30 (-1)",,00:59:38
171,"team645 南京信息工程大学",5,10:39:11,,"02:21:02 (-5)",,,,01:14:45,,"04:11:25 (-1)",,,00:19:08,,00:32:51
172,"team052 东北大学",5,10:44:30,,"04:23:48 (-8)",,(-14),(-3),01:46:22,,01:20:52,,,00:12:52,,00:20:36
173,"team482 华南理工大学",5,10:46:24,,"03:16:52 (-2)",,,(-8),"01:58:07 (-1)",,"02:30:49 (-1)",,,"00:24:03 (-1)",,"00:36:33 (-1)"
174,"team259 南京理工大学",5,10:48:12,,"01:15:02 (-1)",,,(-2),"03:22:24 (-1)",,"02:51:52 (-4)",,,00:45:59,,00:32:55
175,"team843 四川省成都市第七中学",5,10:56:03,,02:01:08,,"04:43:49 (-3)",,"01:12:58 (-3)",,,,,00:15:58,,00:42:10
176,"team381 华南师范大学附属中学",5,10:57:14,,"02:53:27 (-2)",,,,01:06:51,,04:23:36,,,00:30:31,,01:22:49
177,"team673 南京大学",5,10:57:18,,"03:46:24 (-3)",,,,00:58:59,,"03:05:07 (-2)",,,"00:45:20 (-1)",,00:21:28
178,"team314 北京邮电大学",5,10:57:49,,"02:30:14 (-3)",,,(-6),"01:03:38 (-1)",,04:07:09,,,"00:29:57 (-2)",,00:46:51
179,"team1025 贵州大学",5,10:59:49,,"02:02:32 (-2)",,"03:50:30 (-1)",,"01:24:19 (-1)",,,,,"00:42:12 (-2)",,01:00:16
180,"team841 南京大学",5,11:07:28,,,,"03:33:33 (-1)",,01:18:51,,"04:34:01 (-1)",,,00:19:18,,00:41:45
181,"team490 山东省烟台市第二中学",5,11:14:49,,02:54:53,,"03:40:54 (-2)",,"01:25:39 (-1)",,,,,"00:30:55 (-3)",,00:42:28
182,"team1041 南京市第一中学",5,11:17:40,,"02:48:01 (-3)",,,(-6),"01:14:35 (-2)",,"03:15:36 (-1)",,,"00:32:43 (-2)",,00:46:45
183,"team993 东南大学",5,11:22:51,,"02:52:06 (-5)",,,,"01:00:37 (-1)",,02:39:33,,,"00:26:21 (-1)",,02:04:14
184,"team111 南京外国语学校",5,11:26:24,,"02:22:06 (-6)",,,(-11),"02:23:55 (-2)",,02:47:31,(-2),,"00:21:56 (-1)",,00:30:56
185,"team525 厦门大学",5,11:31:54,,"03:47:19 (-7)",,,,01:30:06,,02:13:40,,,00:57:30,,00:43:19
186,"team107 南京外国语学校",5,11:32:19,,"01:48:56 (-2)",,,(-31),00:40:54,,"02:54:53 (-9)",,,"00:52:07 (-1)",,01:15:29
187,"team302 北京邮电大学",5,11:32:30,,"04:54:01 (-8)",,(-1),,01:04:59,,01:56:19,,,00:24:07,,00:33:04
188,"team755 华中师范大学",5,11:40:26,,"02:51:38 (-2)",,,,01:16:17,,"04:13:15 (-3)",,,00:30:26,,01:08:50
189,"team844 四川省成都市第七中学",5,11:47:03,,(-1),,,,"01:42:05 (-2)",,"00:29:43 (-1)",,"04:32:36 (-1)","00:39:56 (-2)",,02:22:43
190,"team211 浙江理工大学",5,11:49:35,,"02:29:06 (-2)",,,"04:58:04 (-6)",00:56:25,,,,,00:19:31,,00:26:29
191,"team813 重庆市育才中学",5,11:50:04,,"01:28:46 (-11)",,(-18),(-21),"01:26:30 (-2)",,03:55:23,,,00:15:43,(-16),00:23:42
192,"team307 北京邮电大学",5,11:50:06,,"04:03:02 (-6)",,,,01:13:17,,"03:15:47 (-1)",,,"00:13:27 (-1)",,00:24:33
193,"team175 莆田学院",5,11:55:57,,"03:33:30 (-4)",,,,01:08:10,,"04:10:56 (-2)",,,"00:25:10 (-1)",,00:18:11
194,"team676 南京大学",5,12:04:34,,"03:26:28 (-2)",,"04:41:48 (-3)",,00:26:54,,,,,"00:17:25 (-1)",,01:11:59
195,"team1057 中山市中山纪念中学",5,12:07:09,,"01:14:55 (-3)",,,,02:07:55,,"01:42:53 (-1)",,,"00:28:03 (-1)",,04:53:23
196,"team272 北京理工大学",5,12:09:20,,"02:49:56 (-3)",,,,01:10:22,,"04:19:07 (-2)",,,"00:32:27 (-2)",,00:57:28
197,"team210 浙江理工大学",5,12:10:21,,"02:24:20 (-5)",,,(-9),01:18:52,,"04:22:27 (-1)",,,"00:29:30 (-1)",,01:15:12
198,"team801 哈尔滨工业大学",5,12:14:58,,"03:05:29 (-8)",,,,01:28:37,,"03:32:29 (-1)",,,"00:27:39 (-1)",,00:20:44
199,"team544 哈尔滨工业大学（威海）",5,12:31:14,,"03:57:08 (-3)",,,,"01:10:03 (-4)",,"01:55:43 (-1)",(-10),(-10),"00:30:57 (-2)",,01:37:23
200,"team067 浙江工业大学",5,12:37:20,,"02:57:04 (-4)",,,,"01:35:06 (-2)",,,,04:12:44,00:35:44,,01:16:42
201,"team1056 中山市中山纪念中学",5,12:42:37,,"04:17:42 (-4)",,,(-4),"01:59:37 (-1)",,"01:52:33 (-2)",,,"00:25:07 (-2)",,01:07:38
202,"team442 杭州师范大学",5,12:50:34,,"04:50:22 (-5)",,,,"01:19:28 (-1)",,03:41:08,,,00:38:04,,00:21:32
203,"team759 武汉大学",5,12:55:47,,"03:16:53 (-16)",,,(-22),"00:59:50 (-3)",,"01:08:49 (-1)",,,00:12:23,(-2),00:37:52
204,"team1008 杭州电子科技大学",5,13:01:55,,"02:20:46 (-4)",,,(-4),"02:36:44 (-4)",,"03:22:34 (-1)",,,"00:11:41 (-1)",,"00:50:10 (-1)"
205,"team130 南京外国语学校",5,13:03:44,,"02:50:12 (-3)",,"03:54:54 (-2)",,"01:54:11 (-3)",,,,,00:24:14,,01:20:13
206,"team448 西安电子科技大学",5,13:16:45,,"03:53:47 (-3)",(-2),,,"01:19:53 (-3)",,04:21:42,,,"00:31:21 (-1)",,00:50:02
207,"team561 重庆大学",5,13:28:09,,"03:38:31 (-3)",,,,"02:34:51 (-1)",,04:12:19,,,00:30:23,,01:12:05
208,"team739 上海市曹杨第二中学",5,13:31:28,,"04:09:48 (-3)",,"01:00:48 (-1)",(-12),"02:07:26 (-6)",,,,,"00:11:32 (-1)",,02:21:54
209,"team192 广东工业大学",5,13:43:42,,"03:42:07 (-6)",,,,"01:51:50 (-1)",,03:57:05,,,00:24:58,,01:27:42
210,"team190 广东工业大学",5,13:52:38,,"02:55:38 (-7)",,,,"01:27:05 (-2)",,04:34:25,,,"00:25:42 (-2)",,00:49:48
211,"team814 重庆市育才中学",5,14:09:40,,"03:28:23 (-6)",,(-1),,"01:51:58 (-2)",,"04:53:52 (-1)",,,00:22:34,,00:32:53
212,"team380 华南师范大学附属中学",5,14:16:12,,"02:15:03 (-7)",,,(-9),"00:57:52 (-2)",,"04:37:50 (-5)",,,"00:23:01 (-2)",,00:42:26
213,"team334 南京理工大学",5,14:20:28,,"03:54:09 (-5)",,,,01:08:38,,"03:26:22 (-4)",,,"00:43:12 (-2)",,01:28:07
214,"team623 海亮高级中学",5,14:31:26,,"03:28:15 (-2)",,,,"02:31:53 (-1)",,"04:21:06 (-1)",,,"00:44:53 (-1)",,01:45:19
215,"team1062 中山市中山纪念中学",5,14:31:37,,"04:56:58 (-14)",,,(-23),"01:28:04 (-2)",,"00:51:12 (-1)",,(-4),"00:15:55 (-1)",,00:59:28
216,"team419 湘潭大学",5,14:34:15,,"03:40:00 (-3)",,,,"02:16:10 (-1)",,04:33:50,,,00:52:39,,01:51:36
217,"team424 中国矿业大学",5,14:40:05,,"03:05:22 (-5)",,,(-4),"01:18:36 (-1)",,04:08:42,,,"00:32:30 (-3)",,02:34:55
218,"team803 哈尔滨工业大学",5,15:03:51,,"04:25:01 (-9)",,,,"01:43:48 (-1)",,"03:07:02 (-1)",,,00:50:08,,01:17:52
219,"team502 南京航空航天大学",5,15:11:41,,"04:19:42 (-10)",,,,"01:14:58 (-2)",(-1),"03:05:11 (-3)",,,"00:25:40 (-1)",,00:46:10
220,"team1030 金陵中学河西分校",5,15:22:10,,"04:33:52 (-9)",,,,01:26:32,,"03:16:13 (-2)",,,"00:47:53 (-2)",,00:57:40
221,"team479 长沙市长郡中学",5,15:31:46,,"00:59:50 (-11)",,(-1),(-3),"01:42:03 (-4)",,"01:37:55 (-4)",,,"01:45:47 (-1)",,02:46:11
222,"team802 哈尔滨工业大学",5,15:32:05,,"04:34:25 (-11)",,,,"01:10:17 (-1)",,04:12:12,,,"00:42:14 (-1)",,00:32:57
223,"team110 南京外国语学校",5,15:48:01,,"03:32:11 (-6)",,,,02:07:21,,"04:27:14 (-5)",,,"00:44:18 (-1)",,00:56:57
224,"team863 香港中文大学（深圳）",5,15:48:01,,"03:13:47 (-7)",,,,"02:34:06 (-3)",,,,"04:42:56 (-3)",00:21:04,,00:36:08
225,"team441 杭州师范大学",5,16:31:15,,"02:49:40 (-3)",,"04:49:58 (-14)",,"00:59:48 (-1)",,,,,00:28:01,,"01:03:48 (-1)"
226,"team725 西安电子科技大学",5,16:47:27,,"03:59:46 (-21)",,(-1),(-10),01:24:48,,02:27:56,,,01:10:22,,00:44:35
227,"team527 厦门大学",5,16:53:22,,"03:57:04 (-8)",,,,02:53:07,,"04:39:13 (-1)",,,00:48:13,,01:35:45
228,"team694 华东师范大学",5,17:32:33,,"03:01:35 (-7)",,"04:54:08 (-8)",,"01:54:01 (-1)",,,,,"00:30:06 (-1)",,01:32:43
229,"team309 北京邮电大学",5,18:22:41,,"04:06:19 (-5)",,,,"02:09:29 (-1)",,"04:58:47 (-4)",,,"01:26:07 (-2)",,01:41:59
230,"team108 南京外国语学校",5,20:20:33,,"03:59:41 (-28)",,,,"00:12:36 (-1)",,03:04:24,,,00:24:36,,02:59:16
231,"team1051 中山市中山纪念中学",5,23:15:24,,"04:54:39 (-12)",,,,"04:45:44 (-8)",,03:19:30,,,"00:28:48 (-2)",,02:26:43
232,"team1059 中山市中山纪念中学",5,25:42:41,,"04:36:35 (-32)",,,,"00:50:03 (-1)",,"02:02:24 (-5)",,,"00:24:09 (-1)",,04:49:30
233,"team888 中国科学技术大学",4,03:07:46,,"01:15:24 (-2)",,,(-11),00:42:20,,,,,00:11:36,,00:18:26
234,"team878 复旦大学",4,03:27:49,,"01:09:24 (-2)",,,(-9),00:32:07,,,,,"00:20:27 (-1)",,00:25:51
235,"team855 华中科技大学",4,03:47:01,,01:39:25,,,,00:25:37,,(-2),,,"00:35:22 (-1)",,00:46:37
236,"team838 河南理工大学",4,04:04:46,,"00:42:40 (-1)",,,,01:13:54,,(-2),,,01:01:28,,00:46:44
237,"team298 南方科技大学",4,04:30:05,,"02:22:42 (-2)",,,(-1),00:30:13,,,,,00:13:50,,00:43:20
238,"team563 重庆大学",4,04:44:52,,(-217),,,(-1),"01:20:40 (-1)",,01:58:28,,,00:12:13,,00:53:31
239,"team116 南京外国语学校",4,04:49:58,,(-16),,,,00:56:16,,02:22:31,,,"00:29:35 (-2)",,00:21:36
240,"team013 华东师范大学",4,04:56:06,,"02:01:16 (-1)",,,,01:25:27,,,,,"00:33:51 (-1)",,00:15:32
241,"team369 长沙市雅礼中学",4,05:00:27,,,,,,"01:10:16 (-3)",,01:33:15,,,"00:18:53 (-1)",,00:38:03
242,"team642 南京信息工程大学",4,05:03:04,,"02:03:01 (-1)",,,,00:53:54,,(-1),,,01:01:34,,00:44:35
243,"team300 南方科技大学",4,05:03:32,,"02:02:28 (-1)",,,,"01:18:20 (-1)",,,,,00:22:30,,00:40:14
244,"team132 浙大宁波理工学院",4,05:10:37,,"02:58:46 (-1)",,,(-8),01:06:25,,,,,00:15:53,(-3),00:29:33
245,"team906 大连理工大学",4,05:35:06,,02:11:19,,,,"01:31:50 (-1)",,,,,"00:35:31 (-2)",,00:16:26
246,"team781 浙江财经大学",4,05:36:47,,"02:17:11 (-3)",,(-11),,00:44:02,,,,,00:12:33,,"01:03:01 (-1)"
247,"team222 大连海事大学",4,05:38:10,,(-15),,,,"00:30:42 (-1)",,"01:55:35 (-1)",,,00:51:24,,01:40:29
248,"team184 广东工业大学",4,05:41:34,,"02:05:53 (-3)",,,,"00:53:48 (-2)",,(-3),,,00:36:45,,00:25:08
249,"team012 华东师范大学",4,05:43:45,,"01:29:21 (-3)",,,,"01:09:42 (-1)",,,,,00:24:45,,01:19:57
250,"team752 华中师范大学",4,05:48:38,,"02:54:55 (-1)",,,,01:19:17,,,,,00:36:12,,00:38:14
251,"team589 福州大学",4,06:03:18,,"03:08:02 (-4)",,,,00:57:39,,(-2),,,00:23:07,,00:14:30
252,"team962 浙江师范大学",4,06:03:54,,"02:36:20 (-3)",,,,01:01:31,,,,,"00:18:44 (-1)",,00:47:19
253,"team113 南京外国语学校",4,06:04:02,,"02:44:20 (-1)",,,(-4),"01:03:53 (-1)",,,,,00:38:20,,00:57:29
254,"team587 福州大学",4,06:05:34,,"02:59:59 (-4)",,,,00:47:09,,,,,00:41:12,,00:17:14
255,"team716 吉林大学",4,06:08:07,,"00:43:18 (-3)",,,,"01:11:15 (-1)",,,,,"00:31:11 (-5)",,00:42:23
256,"team972 天津大学",4,06:13:10,,"02:12:59 (-1)",,,,01:24:18,,(-1),,,"00:38:37 (-2)",,00:57:16
257,"team1020 杭州电子科技大学",4,06:13:36,,"02:15:38 (-2)",,,(-1),01:37:33,,,,,"00:26:40 (-3)",,00:13:45
258,"team306 北京邮电大学",4,06:16:16,,"03:02:25 (-3)",,,,00:46:05,,,,,00:21:23,,01:06:23
259,"team702 中南大学",4,06:20:53,,"02:20:34 (-1)",,,,01:06:24,,,,(-2),"00:34:32 (-2)",,01:19:23
260,"team185 广东工业大学",4,06:21:34,,"02:40:58 (-2)",,,,01:16:34,,,,,00:28:28,,01:15:34
261,"team057 东北大学",4,06:22:10,,"02:18:25 (-3)",,,,"01:14:47 (-1)",,,,(-1),"00:29:40 (-1)",,00:39:18
262,"team301 北京邮电大学",4,06:27:10,,"03:41:13 (-3)",,,,00:40:28,,,,(-19),00:11:03,,00:54:26
263,"team994 东南大学",4,06:27:42,,"03:03:04 (-2)",,,,"01:14:12 (-1)",,,,(-3),00:22:06,,00:48:20
264,"team511 浙江科技大学",4,06:28:24,,"02:45:05 (-7)",,,,00:48:38,,(-17),(-8),,00:25:43,,00:08:58
265,"team186 广东工业大学",4,06:29:35,,"02:09:36 (-5)",,,,01:01:16,,,,,00:43:32,,00:55:11
266,"team148 合肥工业大学宣城校区",4,06:31:22,,"02:10:19 (-3)",,,,01:18:04,,,,,"00:44:45 (-2)",,00:38:14
267,"team618 绍兴一中",4,06:32:49,,"02:10:37 (-2)",,,,"02:00:07 (-1)",,,,,"00:17:22 (-1)",,00:44:43
268,"team391 湖南大学",4,06:33:25,,"02:27:51 (-2)",,(-1),,02:14:14,,,,,00:26:07,,00:45:13
269,"team292 宁波大学",4,06:34:38,,"02:41:53 (-1)",,,,01:19:34,,,,,"00:45:11 (-2)",,00:48:00
270,"team182 广东工业大学",4,06:38:10,,"02:42:35 (-2)",,,,01:24:56,,(-6),,,"00:32:40 (-2)",,00:37:59
271,"team770 上海大学",4,06:39:15,,"02:43:17 (-3)",,(-1),,00:51:00,,(-3),,,00:31:46,,01:33:12
272,"team542 北京交通大学",4,06:41:06,,"02:26:58 (-2)",,,,"01:15:39 (-1)",,,,,"00:39:54 (-2)",,00:38:35
273,"team033 中国传媒大学",4,06:43:20,,"03:07:27 (-5)",,,,00:46:14,,,,,00:19:25,,00:50:14
274,"team821 南京邮电大学",4,06:45:32,,"03:20:28 (-2)",,,,"00:54:21 (-1)",,,,,"00:36:57 (-1)",(-1),00:33:46
275,"team271 北京理工大学",4,06:46:34,,"02:14:51 (-6)",,,,"00:45:08 (-1)",,,,,"00:25:28 (-1)",,00:41:07
276,"team065 浙江工业大学",4,06:46:54,,"03:00:51 (-5)",,,,"00:31:31 (-1)",,(-8),,,00:15:10,,00:59:22
277,"team275 浙江工商大学",4,06:57:59,,"02:46:14 (-6)",,,,"01:13:18 (-1)",,(-1),,,00:23:31,,00:14:56
278,"team657 南京理工大学",4,07:01:46,,"03:42:07 (-2)",,,,01:41:15,,,,,00:20:51,,00:37:33
279,"team420 湘潭大学",4,07:04:50,,"02:20:29 (-2)",,,,"01:18:32 (-2)",,(-18),,,"00:34:18 (-2)",,00:51:31
280,"team215 浙江理工大学",4,07:04:59,,03:20:04,,,,02:01:17,,,,,00:42:56,,01:00:42
281,"team1014 杭州电子科技大学",4,07:07:02,,02:57:51,,,,"02:03:05 (-2)",,(-3),,,00:48:16,,00:37:50
282,"team979 天津大学",4,07:15:19,,"02:55:29 (-3)",,,,"01:21:44 (-1)",,,,,00:33:01,,01:05:05
283,"team576 南京理工大学",4,07:15:54,,"02:59:21 (-6)",,(-1),,01:22:22,,,,,00:24:36,,00:29:35
284,"team866 香港中文大学（深圳）",4,07:22:24,,"01:55:05 (-4)",,,,"01:46:36 (-2)",,,,,"00:48:54 (-1)",,00:31:49
285,"team146 武汉大学",4,07:23:01,,"03:31:21 (-4)",,,,01:25:30,,(-3),,,00:24:23,,00:41:47
286,"team706 中南大学",4,07:23:29,,"02:09:28 (-6)",,,,"01:07:45 (-1)",,,,,01:17:55,,00:28:21
287,"team415 长沙学院",4,07:26:33,,"02:52:08 (-4)",,,(-8),01:36:19,,(-3),,,00:36:03,,01:02:03
288,"team753 华中师范大学",4,07:28:03,,"03:08:42 (-5)",,,,"01:46:14 (-1)",,,,,00:25:29,,00:07:38
289,"team943 北京科技大学",4,07:31:06,,"02:43:19 (-2)",,,,"00:59:35 (-2)",,,,,"01:18:26 (-1)",,00:49:46
290,"team039 南阳师范学院",4,07:33:05,,"01:29:43 (-3)",,,,02:29:34,,,,,"00:47:45 (-1)",,"01:06:03 (-1)"
291,"team762 义乌中学",4,07:34:00,,"02:46:37 (-2)",,,,02:07:50,,,,,"00:28:39 (-1)",,01:10:54
292,"team336 武汉大学",4,07:36:37,,"02:53:41 (-3)",,,,00:57:51,,,,,00:31:16,,"01:53:49 (-1)"
293,"team454 北京化工大学",4,07:37:28,,"03:05:29 (-3)",,,,"01:43:22 (-3)",,,,,00:16:09,,00:32:28
294,"team356 华中农业大学",4,07:37:59,,"03:26:28 (-4)",,,,00:21:48,,,,,"00:42:25 (-1)",,01:27:18
295,"team692 华东师范大学",4,07:42:01,,"02:50:26 (-5)",,,,01:17:48,,,,,"00:44:42 (-1)",,00:49:05
296,"team021 华东理工大学",4,07:42:37,,"02:43:57 (-3)",,,,"00:58:49 (-3)",,,,,"00:38:52 (-2)",,00:40:59
297,"team208 苏州大学",4,07:43:31,,"03:18:59 (-4)",,,,01:47:43,,(-2),,,00:25:57,,00:50:52
298,"team724 西安电子科技大学",4,07:43:38,,"03:36:20 (-2)",,,,01:43:41,,(-7),,,"00:37:07 (-1)",,00:46:30
299,"team284 宁波大学",4,07:44:49,,"02:44:42 (-2)",,,,"02:10:06 (-4)",,,,,00:13:54,,00:36:07
300,"team342 南京大学",4,07:51:36,,"03:16:39 (-6)",,,,00:51:19,,,,,"00:23:42 (-2)",,00:39:56
301,"team652 西南科技大学",4,07:53:41,,"02:34:27 (-1)",,,,"01:55:52 (-3)",,,,,"00:31:11 (-2)",,00:52:11
302,"team325 中国地质大学（北京）",4,07:55:35,,"02:49:42 (-4)",,,,"02:06:30 (-1)",,,,,"00:44:20 (-1)",,00:15:03
303,"team171 湖南师范大学",4,07:55:51,,"02:58:24 (-2)",,,,"01:22:09 (-1)",,,,,"00:52:09 (-1)",,"00:43:09 (-2)"
304,"team886 河海大学",4,07:56:52,,"03:02:11 (-4)",,,,"01:14:36 (-1)",,,,,"00:36:20 (-1)",,01:03:45
305,"team090 长沙理工大学",4,07:59:07,,"02:52:58 (-3)",,(-3),(-33),"01:38:43 (-1)",,,,,"00:54:12 (-2)",,00:33:14
306,"team648 西南科技大学",4,08:02:18,,"03:04:31 (-4)",,,,"01:38:20 (-2)",,,,,00:22:17,,00:57:10
307,"team748 北京航空航天大学",4,08:04:59,,"04:10:29 (-2)",(-2),,,"01:00:42 (-1)",,,,,"00:37:42 (-1)",,00:56:06
308,"team736 天津工业大学",4,08:05:31,,"03:34:52 (-5)",,,,01:39:38,,,,,00:37:47,,00:33:14
309,"team1042 吉林大学",4,08:06:15,,"03:21:39 (-6)",,,(-2),"01:12:20 (-1)",,,,(-3),"00:20:59 (-1)",,00:31:17
310,"team213 浙江理工大学",4,08:14:17,,"02:20:17 (-5)",,,,"01:13:01 (-2)",,,,,"00:15:43 (-2)",,01:25:16
311,"team711 吉林大学",4,08:15:31,,"02:48:17 (-2)",,,,"00:30:06 (-1)",,,,,"00:28:27 (-1)",,03:08:41
312,"team460 中南民族大学",4,08:23:37,,"03:07:26 (-7)",,,,"01:39:44 (-1)",,,,,00:21:35,,00:34:52
313,"team910 广西大学",4,08:32:07,,"03:54:24 (-3)",,,,02:08:18,,,,,"00:53:18 (-1)",,00:16:07
314,"team938 东北大学秦皇岛分校",4,08:32:22,,03:27:35,,,,"01:55:08 (-3)",,,,,01:06:52,,01:02:47
315,"team226 成都信息工程大学",4,08:32:47,,"02:20:35 (-3)",,,,"01:15:03 (-2)",,(-1),(-1),,"00:36:58 (-7)",,00:20:11
316,"team783 浙江财经大学",4,08:36:27,,"03:46:25 (-2)",,,,02:08:46,,,,,00:36:26,,01:24:50
317,"team180 广东工业大学",4,08:36:39,,"03:30:32 (-1)",,,,"02:11:15 (-2)",,,,,00:20:37,,"01:14:15 (-1)"
318,"team965 浙江师范大学",4,08:39:14,,"02:46:56 (-1)",,,,"01:56:51 (-1)",,(-3),,,"00:47:55 (-1)",,02:07:32
319,"team634 南阳理工学院",4,08:39:59,,"03:11:17 (-3)",,,,"01:12:40 (-1)",,,,,"00:23:15 (-1)",,02:12:47
320,"team417 湘潭大学",4,08:45:33,,"03:36:55 (-5)",,,(-2),"01:37:36 (-1)",,(-2),,,"00:34:49 (-1)",,00:36:13
321,"team823 南京邮电大学",4,08:46:43,,"03:15:14 (-3)",,,,01:52:56,,,,,"00:28:31 (-3)",,01:10:02
322,"team483 华南理工大学",4,08:48:05,,"03:18:23 (-6)",,,,"01:29:51 (-1)",,(-1),,,"00:24:06 (-1)",,00:55:45
323,"team305 北京邮电大学",4,08:48:46,,"04:06:11 (-6)",,,(-6),01:02:32,,01:18:17,,,00:21:46,,
324,"team831 南京邮电大学",4,08:49:49,,"03:46:35 (-1)",,,,"01:02:15 (-1)",,,,,"00:34:23 (-1)",,02:26:36
325,"team757 长春理工大学",4,08:53:56,,"02:51:03 (-4)",,,,"01:46:50 (-2)",(-2),,,,"00:53:28 (-2)",,00:42:35
326,"team765 义乌中学",4,08:55:54,,"02:56:44 (-7)",,,(-4),"01:30:26 (-1)",,,,,"00:25:32 (-2)",,00:43:12
327,"team002 华东师范大学第二附属中学",4,08:56:40,,(-14),,,,"01:55:00 (-3)",,03:51:43,,,"00:33:18 (-2)",,00:56:39
328,"team452 浙江农林大学",4,08:56:59,,"02:51:33 (-4)",,,,"01:15:19 (-1)",,,,,"00:41:11 (-1)",,02:08:56
329,"team564 重庆大学",4,08:57:35,,(-18),,,,01:30:53,,03:49:58,,,00:25:23,,03:11:21
330,"team167 北京林业大学",4,09:01:37,,"03:35:06 (-5)",,,,01:32:30,,(-10),,(-1),"00:31:25 (-2)",,01:02:36
331,"team703 中南大学",4,09:01:49,,"03:19:33 (-1)",,,,00:49:40,,,,,"02:12:39 (-4)",,00:59:57
332,"team315 北京邮电大学",4,09:02:30,,"03:35:17 (-5)",,,,"01:35:56 (-1)",,(-2),,,"00:30:46 (-1)",,01:00:31
