Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
34,"team447 西安电子科技大学",6,11:27:29,"03:00:35 (-1)",00:57:23,,,(-1),,,00:26:30,"01:20:07 (-3)","03:24:51 (-1)","00:18:03 (-1)",
35,"team843 四川省成都市第七中学",6,11:48:11,(-3),"00:53:24 (-3)",,,,03:42:28,,"00:41:47 (-1)",00:58:42,"02:39:56 (-2)","00:11:54 (-2)",
36,"team671 南京大学",6,12:04:32,"04:43:08 (-1)","01:23:25 (-1)",,,,(-5),,01:05:18,00:45:03,03:15:27,00:12:11,
37,"team262 北京理工大学",6,12:19:14,(-1),"01:04:54 (-2)",(-8),,,03:16:43,,00:18:34,01:02:44,"03:47:06 (-4)","00:09:13 (-2)",
38,"team640 厦门理工学院",6,12:23:00,03:11:14,"01:26:02 (-4)",,,,,,00:54:36,01:05:15,02:35:26,"00:50:27 (-3)",
39,"team805 哈尔滨工业大学",6,12:27:43,03:00:33,"01:55:17 (-1)",,,,,,01:24:14,01:21:21,02:14:38,"01:11:40 (-3)",
40,"team1042 吉林大学",6,13:04:00,"04:31:46 (-1)","01:20:46 (-2)",,,,,,"01:05:17 (-1)",00:56:17,03:40:48,00:09:06,
41,"team558 上海师范大学",6,13:16:51,03:44:27,"02:40:07 (-1)",,,,,,00:59:18,01:39:12,03:03:38,"00:30:09 (-1)",
42,"team598 温州中学",6,14:45:36,"03:37:30 (-3)","00:38:20 (-3)",,,,,(-6),"00:40:14 (-1)","01:40:36 (-8)","01:49:22 (-1)","00:19:34 (-2)",
43,"team128 南京外国语学校",6,15:03:43,(-2),"03:31:35 (-2)",,,,"02:17:15 (-2)",,00:47:58,02:07:09,"03:49:04 (-1)","00:10:42 (-2)",
44,"team841 南京大学",6,15:13:56,,"02:09:30 (-2)",,,,03:59:09,,00:11:44,"02:18:27 (-2)","04:29:55 (-1)","00:05:11 (-1)",
45,"team725 西安电子科技大学",6,17:22:11,"02:53:10 (-9)","02:14:15 (-3)",,,,,,00:40:54,"01:22:44 (-1)","04:00:14 (-3)","00:30:54 (-1)",
46,"team684 南京大学",6,17:44:15,,"00:30:13 (-1)",,,,"04:07:38 (-17)",,"00:27:36 (-1)","00:46:37 (-2)","03:35:22 (-2)","00:16:49 (-1)",
47,"team102 南京外国语学校",5,02:20:59,,00:19:52,,,(-6),(-8),,00:10:36,00:25:16,01:10:38,00:14:37,(-1)
48,"team803 哈尔滨工业大学",5,03:58:12,(-2),00:37:51,,,,,,00:28:55,00:44:06,01:33:36,"00:13:44 (-1)",
49,"team884 河海大学",5,04:05:35,(-1),00:49:55,,,,(-1),,00:25:41,00:57:43,01:34:48,00:17:28,
50,"team874 复旦大学",5,04:42:27,(-3),01:00:55,,,,,,01:03:37,00:30:39,01:38:22,"00:08:54 (-1)",
51,"team682 南京大学",5,04:45:33,,"00:52:48 (-1)",,,,,,00:16:12,"00:31:13 (-1)",01:57:23,"00:07:57 (-1)",
52,"team418 湘潭大学",5,04:47:45,,00:37:24,,,,,,00:17:07,"01:10:30 (-3)",01:31:55,00:10:49,
53,"team877 复旦大学",5,04:50:48,,"00:34:10 (-1)",,,,,,00:26:57,"01:22:21 (-1)",01:16:33,"00:10:47 (-1)",
54,"team1037 西安交通大学",5,04:53:39,(-11),"00:43:42 (-1)",,,,(-2),,00:24:31,"00:43:24 (-2)","01:10:16 (-1)","00:11:46 (-1)",
55,"team263 北京理工大学",5,05:07:50,(-1),"00:56:43 (-1)",,,,,,"00:25:14 (-1)",00:48:29,01:24:03,"00:13:21 (-2)",
56,"team131 浙大宁波理工学院",5,05:23:01,,01:13:42,,,,,,00:23:59,00:39:32,02:48:33,00:17:15,
57,"team804 哈尔滨工业大学",5,05:23:31,(-3),"00:47:50 (-1)",,,,,,00:10:31,"00:44:37 (-2)","01:41:32 (-1)","00:19:01 (-1)",
58,"team170 湖南师范大学",5,05:28:00,(-7),"00:48:22 (-1)",,,,,,"00:34:36 (-1)",00:47:57,01:37:58,"00:19:07 (-2)",
59,"team264 北京理工大学",5,05:30:15,,01:14:22,,,,,,"00:37:42 (-1)",00:36:01,01:52:08,"00:10:02 (-2)",
