Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
29,"team619 绍兴一中",8,12:36:03,"00:24:19 (-1)","01:05:26 (-2)",00:19:13,00:40:30,01:32:23,,"02:59:48 (-1)","02:38:12 (-2)",,,00:56:12
30,"team739 上海市曹杨第二中学",8,13:04:08,00:17:20,01:53:31,00:23:40,00:35:09,01:31:05,,01:15:33,02:12:54,,,"04:14:56 (-2)"
31,"team307 北京邮电大学",8,14:09:11,00:18:26,04:01:17,00:20:31,00:36:46,01:16:28,,01:04:31,03:50:40,(-4),,02:40:32
32,"team879 复旦大学",8,14:22:32,00:10:19,01:30:13,00:21:01,"01:27:43 (-1)","02:13:10 (-2)",,00:44:17,02:33:34,,,"04:02:15 (-1)"
33,"team413 武汉大学",8,14:26:15,"00:47:52 (-4)",01:12:55,00:28:25,01:00:58,"01:45:34 (-1)",,"01:06:38 (-1)","02:12:49 (-1)",,,03:31:04
34,"team598 温州中学",8,14:49:28,"00:46:07 (-2)","01:11:23 (-4)","00:19:51 (-1)",00:54:30,"01:46:21 (-1)",,00:36:51,"02:58:41 (-3)",(-19),(-16),"01:55:44 (-2)"
35,"team121 南京外国语学校",8,14:49:37,00:27:34,01:30:30,"00:35:55 (-3)",01:06:02,"01:45:34 (-1)",,00:51:10,"03:03:43 (-1)",,,"03:09:09 (-2)"
36,"team871 复旦大学",8,15:02:00,00:12:50,"02:10:01 (-4)",00:26:54,00:38:34,01:02:32,,01:30:27,03:30:35,(-7),,"03:50:07 (-1)"
37,"team684 南京大学",8,15:03:50,"00:08:41 (-1)",01:29:55,"00:26:25 (-1)",00:38:37,"01:47:38 (-2)",,01:43:33,02:29:56,,(-5),"03:59:05 (-3)"
38,"team1002 杭州电子科技大学",8,15:20:06,00:14:46,"02:30:46 (-1)",00:45:09,00:33:12,01:08:54,,"01:38:51 (-1)","03:05:41 (-2)",,,04:02:47
