Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
146,"team371 浙大城市学院",6,13:05:03,00:42:05,"04:44:17 (-1)",00:46:51,"01:07:24 (-1)",02:56:07,(-2),02:08:19,,,,
147,"team064 浙江工业大学",6,13:09:05,"00:20:48 (-1)","04:40:44 (-2)","00:51:00 (-1)",00:47:30,"02:25:53 (-1)",,02:23:10,(-4),,,
148,"team109 南京外国语学校",6,13:16:40,"01:14:04 (-7)",,"00:10:35 (-1)","00:31:14 (-1)",00:50:02,,02:13:55,,,,"03:56:50 (-4)"
149,"team298 南方科技大学",6,13:26:02,"00:58:43 (-2)","03:15:39 (-1)","01:04:48 (-3)",00:43:34,03:21:20,,02:01:58,,,,(-4)
150,"team454 北京化工大学",6,13:28:04,"01:00:51 (-3)","04:42:03 (-4)","00:18:48 (-1)",00:47:16,01:39:43,,02:19:23,,,,(-2)
151,"team302 北京邮电大学",6,13:31:55,00:27:33,(-3),"00:36:29 (-1)",00:53:31,"04:32:15 (-1)",,03:17:30,,,,"02:44:37 (-1)"
152,"team853 华中科技大学",6,13:41:08,"00:33:24 (-3)","04:45:47 (-4)",00:36:05,"01:28:25 (-1)","02:06:17 (-1)",(-1),01:11:10,,,,
153,"team584 福州大学",6,13:59:39,"00:52:28 (-2)",,"00:40:24 (-1)",01:17:13,"02:54:00 (-3)",(-6),02:05:13,04:10:21,,,
154,"team1061 中山市中山纪念中学",6,14:03:23,"01:16:43 (-2)","04:27:04 (-6)","00:55:01 (-2)","00:48:44 (-2)",01:22:00,,01:13:51,(-1),,,
155,"team110 南京外国语学校",6,14:03:25,"00:51:32 (-4)","03:39:16 (-10)",00:16:46,00:28:01,"01:38:53 (-1)",,"01:48:57 (-1)",,,,
156,"team315 北京邮电大学",6,14:06:55,00:18:58,"04:44:15 (-1)","00:45:29 (-1)","00:58:08 (-1)","03:26:01 (-3)",,01:54:04,,,,
157,"team855 华中科技大学",6,14:13:31,00:17:15,"04:34:43 (-10)","00:34:06 (-2)",00:46:54,01:29:58,,02:30:35,,,,
158,"team166 北京林业大学",6,14:16:31,00:33:42,"03:31:29 (-2)","01:28:05 (-1)",02:02:57,"03:01:39 (-2)",,01:58:39,,,,
159,"team419 湘潭大学",6,14:17:55,00:29:58,"04:19:19 (-2)","00:57:24 (-3)",00:52:07,02:19:30,,"03:19:37 (-1)",,,,
160,"team272 北京理工大学",6,14:21:06,"01:21:47 (-2)",,01:04:14,00:44:48,"02:15:22 (-1)",,02:03:25,"04:51:30 (-3)",,,
161,"team577 南京理工大学",6,14:23:41,"01:18:29 (-1)","04:33:17 (-2)",00:45:00,"00:33:12 (-3)","02:34:29 (-2)",(-1),01:59:14,,,,
162,"team881 复旦大学",6,14:26:25,"00:49:01 (-3)",(-2),00:55:14,01:08:16,"02:22:39 (-2)",,02:40:24,"04:10:51 (-2)",,,(-1)
163,"team317 北京邮电大学",6,14:36:51,"01:27:15 (-1)","04:20:33 (-1)",00:35:11,"01:01:37 (-2)","01:57:31 (-2)",,03:14:44,,,,
164,"team309 北京邮电大学",6,14:56:12,"01:02:10 (-4)","04:33:15 (-6)",00:18:56,"00:41:32 (-1)",01:48:38,,02:51:41,(-3),,,
165,"team965 浙江师范大学",6,15:07:16,00:35:38,"04:23:58 (-2)",00:24:54,"00:54:11 (-2)","03:00:36 (-3)",,03:27:59,,,,
166,"team449 西安电子科技大学",6,15:54:24,"00:45:23 (-2)","03:06:56 (-1)","01:15:51 (-1)",00:41:18,04:13:25,,"04:11:31 (-1)",(-2),,,
167,"team856 华中科技大学",6,16:10:34,"00:52:07 (-4)",(-1),00:32:32,00:48:34,03:53:07,(-10),04:10:01,04:34:13,,,(-2)
168,"team541 北京交通大学",6,16:20:19,"00:48:52 (-3)",,"01:00:17 (-1)",00:20:50,"02:16:14 (-4)",,02:46:51,,,,"04:47:15 (-5)"
169,"team296 南方科技大学",6,16:27:50,"00:27:45 (-1)",,"01:06:09 (-1)",00:29:19,"03:58:33 (-1)",,04:31:09,,,,"04:34:55 (-1)"
170,"team957 杭州第二中学",6,16:40:21,"01:04:21 (-2)","02:47:10 (-2)",00:38:52,"00:57:58 (-1)","03:41:36 (-1)",,"04:30:24 (-3)",,,,
171,"team968 香港科技大学（广州）",6,16:51:57,"02:18:22 (-3)",,"00:28:04 (-1)",01:48:06,"01:30:10 (-1)",,03:19:03,"04:48:12 (-3)",,,
172,"team012 华东师范大学",6,16:57:02,00:39:51,(-3),00:39:30,00:45:04,"02:07:45 (-1)",,"04:13:52 (-1)","04:51:00 (-9)",(-1),(-1),
173,"team851 华中科技大学",6,17:04:19,"01:53:49 (-3)","04:16:19 (-2)",00:11:12,"02:40:49 (-3)","01:59:37 (-2)",,02:42:33,,,,(-1)
174,"team313 北京邮电大学",6,17:36:33,"00:41:56 (-2)",,00:42:17,"01:32:49 (-2)",04:05:05,,01:09:49,,,,"04:44:37 (-10)"
175,"team943 北京科技大学",6,19:02:17,"02:01:00 (-7)","04:57:12 (-3)",00:57:58,00:48:00,"04:11:04 (-1)",,02:27:03,,,,
176,"team864 香港中文大学（深圳）",6,19:08:21,"04:28:50 (-6)","04:23:04 (-5)",00:22:25,00:39:02,"02:14:32 (-1)",,"02:40:28 (-1)",,,,
177,"team143 浙江万里学院",6,20:31:00,"01:00:39 (-4)","04:49:47 (-8)",00:36:04,"01:16:14 (-1)","02:38:48 (-5)",,04:09:28,,,,
178,"team391 湖南大学",6,21:13:26,"02:50:06 (-1)","04:53:05 (-4)","01:51:05 (-6)",03:25:22,"02:33:07 (-1)",,01:40:41,,,,(-1)
179,"team511 浙江科技大学",6,23:00:31,"01:01:50 (-4)",,"01:36:24 (-2)","02:35:46 (-6)","03:09:40 (-1)",,"04:38:11 (-1)",,,,"03:58:40 (-4)"
180,"team811 重庆市育才中学",5,04:30:38,00:25:44,,00:17:14,00:31:28,"01:34:10 (-1)",,01:22:02,,,,
181,"team1040 南京市第一中学",5,05:04:59,00:30:09,,00:17:54,00:47:15,01:55:00,,01:34:41,,,,
182,"team814 重庆市育才中学",5,05:21:36,00:09:48,,00:19:45,"00:35:28 (-1)",02:22:23,,01:34:12,,,,
183,"team960 浙江师范大学",5,05:33:43,00:19:34,(-10),00:27:20,00:35:19,01:57:10,,"01:34:20 (-2)",,,,(-5)
184,"team092 长沙理工大学",5,05:37:45,"00:31:37 (-1)",(-2),00:29:23,"00:14:50 (-1)",02:07:24,,"01:14:31 (-1)",(-1),,,
185,"team954 杭州第二中学",5,05:57:01,00:26:05,"01:31:39 (-3)",00:19:13,"00:51:30 (-1)",01:28:34,,(-2),,,,(-6)
186,"team939 福建师范大学",5,05:57:18,"00:33:06 (-3)",,"00:16:10 (-1)",00:17:59,"01:51:19 (-1)",,01:18:44,,,,
187,"team297 南方科技大学",5,06:24:03,"00:16:40 (-1)",,"01:10:15 (-1)","00:29:44 (-1)",01:54:54,,01:32:30,(-7),,,
188,"team010 山东科技大学",5,06:45:03,00:38:30,(-9),00:21:18,00:52:06,01:58:12,,02:54:57,,,,(-1)
189,"team270 北京理工大学",5,06:54:13,00:46:29,(-3),"00:37:30 (-1)",00:38:02,"02:26:16 (-1)",,01:45:56,,,,
190,"team778 西安交通大学",5,07:01:23,"00:20:01 (-1)",,"00:31:44 (-1)",00:40:26,"01:23:15 (-2)",,,02:45:57,,,
191,"team147 武汉大学",5,07:04:08,"00:36:00 (-1)",(-10),"00:53:59 (-1)",00:15:02,"01:43:58 (-1)",(-5),02:35:09,,,,
192,"team160 山东理工大学",5,07:04:49,00:38:44,,"00:47:17 (-2)",00:22:20,"01:58:19 (-1)",,"01:58:09 (-1)",,,,
193,"team028 武汉大学",5,07:08:26,"01:16:31 (-2)",(-1),"00:34:55 (-1)",00:20:33,"01:09:01 (-2)",,02:07:26,(-7),,,(-4)
194,"team498 合肥大学",5,07:17:47,"00:46:05 (-1)",(-6),00:25:43,01:09:57,02:46:01,,01:50:01,,,,
195,"team303 北京邮电大学",5,07:21:25,"01:18:27 (-1)",,"00:25:56 (-1)",00:33:02,01:38:23,(-3),02:45:37,,,,
196,"team618 绍兴一中",5,07:27:47,"01:06:47 (-1)",,00:31:58,"00:39:33 (-1)",01:56:04,,02:33:25,,,(-1),
197,"team011 华东师范大学",5,07:32:04,01:06:55,03:18:33,00:44:44,00:31:00,01:50:52,,,,,,(-2)
198,"team441 杭州师范大学",5,07:34:57,"00:29:02 (-1)",,00:26:07,01:04:35,02:10:21,,"02:44:52 (-1)",,,,
199,"team268 北京理工大学",5,07:40:14,"00:59:27 (-1)",(-2),00:23:02,"00:58:23 (-3)",01:51:44,,"01:47:38 (-1)",,,,
200,"team803 哈尔滨工业大学",5,08:03:36,00:21:55,(-2),"00:47:55 (-3)",01:15:28,01:49:15,,02:49:03,,,,
201,"team705 中南大学",5,08:09:41,"01:01:11 (-2)",(-8),"00:36:35 (-1)",00:45:15,"02:23:28 (-2)",,01:43:12,,,,(-1)
202,"team146 武汉大学",5,08:29:12,00:46:27,,00:47:01,00:46:34,"02:04:11 (-1)",,03:44:59,,,,
203,"team772 上海大学",5,08:32:34,"00:36:41 (-3)",,00:15:21,00:37:34,01:11:23,,"04:11:35 (-2)",,,,(-2)
204,"team694 华东师范大学",5,08:34:11,00:43:14,"03:42:28 (-1)",00:09:53,00:58:03,"02:00:33 (-2)",,,,,,
205,"team602 郑州轻工业大学",5,08:43:01,00:41:48,,00:58:05,00:37:42,03:16:04,,"02:29:22 (-2)",,,,
206,"team638 厦门理工学院",5,08:48:41,00:39:48,,00:21:10,00:51:56,"03:55:26 (-1)",,02:40:21,,,,
207,"team661 北方工业大学",5,08:49:13,00:53:46,(-3),"00:30:37 (-2)",00:15:39,"03:00:43 (-2)",,02:48:28,,(-1),,(-2)
208,"team171 湖南师范大学",5,08:50:44,01:05:30,,"01:01:21 (-1)",00:45:13,01:53:28,,03:45:12,,,,
209,"team057 东北大学",5,08:51:04,00:31:21,03:03:46,"00:47:59 (-1)",01:20:57,"02:27:01 (-1)",,,,,,
210,"team586 福州大学",5,08:55:41,00:50:04,(-1),00:28:44,"01:02:35 (-1)","02:16:31 (-2)",,03:17:47,,,,
211,"team389 华南师范大学附属中学",5,08:58:39,"01:18:46 (-1)",,00:53:34,"01:27:43 (-2)",01:56:17,,02:22:19,,,,
212,"team910 广西大学",5,08:59:33,00:40:28,"04:28:53 (-2)",00:29:31,"00:24:25 (-1)",01:56:16,,,,,,
213,"team839 河南理工大学",5,09:02:03,00:14:17,,"00:59:14 (-2)",01:23:46,02:07:52,,03:36:54,,,,
214,"team1041 南京市第一中学",5,09:04:21,"00:37:25 (-2)",,00:20:03,"00:56:15 (-6)",02:20:36,,"01:50:02 (-1)",,,,
215,"team680 南京大学",5,09:10:48,"00:53:04 (-2)",,"00:35:56 (-2)",00:49:26,01:52:22,,03:40:00,,,,
216,"team271 北京理工大学",5,09:15:05,"00:49:40 (-1)",,"01:06:34 (-2)","01:11:43 (-1)",02:19:28,,02:27:40,(-17),,,
217,"team562 重庆大学",5,09:16:20,"01:00:21 (-3)",(-1),00:42:50,"00:54:08 (-3)",02:44:06,,01:54:55,,,,
218,"team370 浙大城市学院",5,09:18:01,"00:35:10 (-1)",(-5),00:21:24,00:57:59,"02:47:42 (-1)",,"03:15:46 (-2)",,,,
219,"team720 吉林大学",5,09:20:58,"01:15:01 (-4)",(-4),00:35:59,00:45:28,"02:04:23 (-1)",,"02:40:07 (-1)",,,,
220,"team544 哈尔滨工业大学（威海）",5,09:22:43,"00:42:34 (-1)",,"00:51:55 (-4)",01:15:41,02:16:54,,02:35:39,(-4),,,
221,"team067 浙江工业大学",5,09:25:05,01:40:25,,"00:29:11 (-1)","01:17:57 (-2)",02:45:55,,02:11:37,,,,
222,"team200 江西财经大学",5,09:30:33,00:42:21,(-1),"01:14:17 (-2)",01:24:27,03:10:57,,02:18:31,,,,
223,"team1012 杭州电子科技大学",5,09:32:18,"01:21:15 (-2)",(-4),01:03:28,00:36:45,02:00:50,,"03:30:00 (-1)",,,,
224,"team717 吉林大学",5,09:39:02,"00:36:44 (-1)",(-3),"00:44:04 (-1)",01:10:23,"02:05:50 (-5)",,"02:22:01 (-1)",,,,
225,"team062 浙江工业大学",5,09:40:39,01:02:09,(-2),00:21:00,"01:14:57 (-1)","02:49:14 (-3)",,02:53:19,,,,
226,"team443 杭州师范大学",5,09:41:17,"01:18:13 (-2)",,"00:29:47 (-1)","00:55:25 (-2)",03:02:53,,02:14:59,,,,
227,"team1011 杭州电子科技大学",5,09:41:51,"01:08:24 (-2)",(-13),"00:45:31 (-3)",00:19:05,"01:17:15 (-1)",,"03:51:36 (-1)",,,,
228,"team448 西安电子科技大学",5,09:41:57,"01:15:16 (-2)",(-1),"00:28:55 (-1)",00:27:29,"02:24:01 (-3)",,"02:26:16 (-2)",,,,
229,"team314 北京邮电大学",5,09:42:04,"01:32:23 (-5)",(-5),"00:26:58 (-2)",00:15:40,02:28:31,,02:38:32,(-6),,,
230,"team852 华中科技大学",5,09:44:22,"02:37:25 (-6)",,"00:35:14 (-1)",00:40:56,01:21:23,,"01:49:24 (-1)",,,(-4),
231,"team530 厦门大学",5,09:47:24,01:46:58,(-1),00:58:52,"00:56:00 (-1)","03:04:43 (-3)",,01:40:51,,,,
232,"team963 浙江师范大学",5,09:48:02,"00:56:14 (-1)",(-1),"01:44:52 (-3)",00:37:18,02:18:40,,02:50:58,,,,(-3)
233,"team813 重庆市育才中学",5,09:49:02,"00:36:37 (-5)",,00:16:58,"00:27:33 (-1)",02:52:42,,"02:15:12 (-4)",,,,
234,"team021 华东理工大学",5,09:50:05,"00:49:01 (-1)",,00:41:10,"01:26:07 (-1)",01:56:07,,"03:57:40 (-1)",,,,
235,"team184 广东工业大学",5,09:58:00,00:25:01,(-1),"00:24:51 (-2)",00:36:57,04:08:26,,03:42:45,,,,
236,"team576 南京理工大学",5,10:02:41,"01:21:23 (-1)",,00:34:02,00:18:06,"03:32:58 (-2)",,03:16:12,,,,
237,"team563 重庆大学",5,10:05:51,"00:57:44 (-3)",(-3),"01:10:48 (-1)",00:40:43,01:50:43,,04:05:53,,,,
238,"team256 东华大学",5,10:09:24,"00:50:09 (-5)",(-3),00:15:51,00:15:14,"02:11:02 (-3)",,"03:37:08 (-1)",,,,
239,"team259 南京理工大学",5,10:11:48,00:33:41,(-3),"00:48:46 (-1)",01:02:08,"03:14:43 (-1)",,03:52:30,,,,
240,"team284 宁波大学",5,10:12:49,01:30:05,,02:08:50,00:56:42,"00:44:08 (-2)",,04:13:04,,,,
241,"team1030 金陵中学河西分校",5,10:14:07,"00:33:46 (-5)",,"00:55:34 (-1)",01:13:24,"03:17:16 (-1)",,01:54:07,,,,(-1)
242,"team452 浙江农林大学",5,10:16:58,"00:27:46 (-1)",,00:22:13,00:52:05,"04:47:40 (-5)",,01:47:14,,,,
243,"team690 西南民族大学",5,10:20:17,"01:18:07 (-2)",,"00:58:58 (-1)","00:46:26 (-2)","02:35:01 (-1)",,02:41:45,,,,
244,"team318 北京邮电大学",5,10:24:39,"01:46:17 (-3)",,"00:29:03 (-1)",00:32:18,"01:58:48 (-1)",,03:58:13,,,,(-1)
245,"team054 东北大学",5,10:25:30,"00:51:41 (-1)",,00:47:28,01:10:00,"03:39:13 (-2)",,"02:37:08 (-1)",,,,
246,"team180 广东工业大学",5,10:28:33,"01:10:52 (-1)",,00:21:28,00:45:22,"03:57:09 (-2)",,"02:53:42 (-1)",,,,
247,"team906 大连理工大学",5,10:41:38,00:33:26,,00:16:20,00:34:00,04:40:32,,"03:57:20 (-2)",,,,(-3)
248,"team415 长沙学院",5,10:45:42,"00:51:43 (-1)",(-2),"00:27:11 (-1)",01:04:56,03:31:35,,"03:50:17 (-1)",,,,
249,"team066 浙江工业大学",5,10:46:44,"01:31:08 (-4)",,00:29:42,"01:00:03 (-1)",02:14:44,(-7),"03:11:07 (-2)",,,,
250,"team482 华南理工大学",5,10:56:15,"01:16:44 (-2)",,00:31:01,"01:10:04 (-1)","03:21:56 (-1)",,"02:56:30 (-1)",,,,
251,"team781 浙江财经大学",5,11:05:04,"01:23:44 (-2)",,00:45:57,01:02:04,"03:26:26 (-3)",,02:46:53,,,,
252,"team182 广东工业大学",5,11:06:12,"01:39:10 (-1)",,"00:41:50 (-1)",01:00:26,"03:06:33 (-1)",,03:38:13,,,,
253,"team424 中国矿业大学",5,11:06:44,"00:36:43 (-2)","04:48:36 (-1)",00:48:06,01:06:27,02:46:52,,(-2),,,,
254,"team585 福州大学",5,11:10:39,01:02:05,,"01:06:14 (-1)",01:55:08,"03:25:36 (-1)",,03:01:36,,,,
255,"team311 北京邮电大学",5,11:18:06,01:16:30,,00:29:52,00:48:35,"03:27:36 (-1)",,"04:15:33 (-2)",,,,
256,"team380 华南师范大学附属中学",5,11:19:52,"00:37:12 (-4)",,00:19:11,"00:55:49 (-5)",01:34:02,,"04:33:38 (-1)",,,,(-2)
257,"team135 浙大宁波理工学院",5,11:27:57,"01:08:59 (-2)",,"00:56:44 (-1)",01:15:49,03:04:12,,04:02:13,,,,
258,"team369 长沙市雅礼中学",5,11:28:18,02:42:42,,00:25:12,00:36:36,03:27:16,,04:16:32,,,,
259,"team801 哈尔滨工业大学",5,11:30:19,"03:06:38 (-4)",,00:36:13,01:15:28,02:45:06,,02:26:54,,,,
260,"team122 南京外国语学校",5,11:32:40,"04:25:13 (-1)",,00:30:34,"01:17:31 (-2)",02:25:00,,01:54:22,,,,
261,"team843 四川省成都市第七中学",5,11:33:21,"01:14:46 (-3)",,"01:54:04 (-2)",01:04:22,"02:40:22 (-3)",,01:59:47,,,,(-3)
262,"team686 青岛科技大学",5,11:33:59,"00:29:56 (-2)",,"01:08:50 (-1)",01:15:26,"04:03:10 (-2)",,"02:36:37 (-1)",,,,
263,"team555 清华大学",5,11:38:15,"00:57:02 (-3)",,00:17:40,00:34:27,"03:45:13 (-1)",,04:43:53,,,,
264,"team1036 武汉大学",5,11:45:35,"00:31:00 (-3)",,00:53:02,"02:14:38 (-3)",03:44:49,(-8),02:22:06,,,,(-7)
265,"team325 中国地质大学（北京）",5,11:45:46,"01:23:04 (-3)",,"01:20:32 (-1)",01:42:12,"03:01:21 (-3)",(-2),01:58:37,,,,(-9)
266,"team451 浙江农林大学",5,11:46:48,"00:49:56 (-3)",,00:41:59,00:15:13,"02:17:30 (-1)",,"04:42:10 (-5)",,,,
267,"team220 浙江理工大学",5,11:47:48,"00:45:01 (-1)",,00:22:41,01:03:26,04:22:42,,"03:33:58 (-4)",,,,
268,"team306 北京邮电大学",5,11:49:33,"03:20:01 (-7)",,"00:41:00 (-2)",00:31:43,01:51:07,,"02:05:42 (-1)",,,,
269,"team657 南京理工大学",5,11:49:38,"00:18:47 (-1)",(-3),"01:07:40 (-2)",00:41:03,03:43:37,(-2),04:58:31,,,,
270,"team013 华东师范大学",5,11:56:18,"01:05:46 (-2)",(-4),"00:45:16 (-1)","01:44:50 (-3)",02:49:56,,03:30:30,,,,
271,"team107 南京外国语学校",5,11:56:33,"00:46:48 (-5)",,"01:05:45 (-1)","01:20:25 (-1)",01:43:27,,,,,,"03:40:08 (-3)"
272,"team816 重庆市育才中学",5,11:58:29,01:45:23,,01:03:08,"01:32:43 (-5)",02:58:11,,"02:39:04 (-1)",,,,
273,"team218 浙江理工大学",5,12:13:00,"00:30:56 (-2)",(-2),"01:05:09 (-4)","01:40:18 (-2)","02:53:54 (-1)",,03:02:43,,,,
274,"team137 浙大宁波理工学院",5,12:13:51,"01:17:59 (-1)",,04:01:42,00:49:15,02:07:28,,03:37:27,,,,
275,"team648 西南科技大学",5,12:14:45,"01:26:24 (-1)",(-3),"00:38:46 (-2)",00:57:35,"03:36:41 (-2)",,03:55:19,,,,
276,"team055 东北大学",5,12:17:16,"01:41:49 (-3)",,00:29:28,"01:53:32 (-2)",02:12:08,,04:20:19,,,,
277,"team936 东北大学秦皇岛分校",5,12:17:37,"00:30:09 (-3)",,"00:45:20 (-2)","01:22:43 (-8)",02:01:40,,03:17:45,,,,(-2)
278,"team142 浙江万里学院",5,12:20:54,"01:05:37 (-3)","04:07:02 (-5)","00:40:12 (-1)",01:17:31,02:10:32,(-1),,,,,
279,"team823 南京邮电大学",5,12:21:09,"00:26:29 (-2)",,"00:43:14 (-1)",00:58:29,"04:37:38 (-2)",,03:55:19,,,,
280,"team765 义乌中学",5,12:21:29,"02:10:19 (-2)",(-6),"01:18:19 (-1)",01:02:16,"02:33:10 (-1)",(-3),"03:17:25 (-2)",,,,
281,"team185 广东工业大学",5,12:32:19,"01:36:36 (-1)",,"00:50:03 (-1)",01:54:40,"03:05:05 (-1)",,04:05:55,,,,
282,"team566 重庆大学",5,12:43:41,01:14:22,,"01:10:46 (-4)",01:26:54,"02:29:17 (-3)",,04:02:22,,,,
283,"team131 浙大宁波理工学院",5,12:43:54,"02:20:33 (-1)",,"01:20:01 (-1)",01:08:52,03:09:13,,04:05:15,,,,
284,"team273 浙江工商大学",5,12:50:47,"01:10:47 (-5)",(-15),"01:49:43 (-1)","00:43:36 (-2)","02:04:32 (-1)",,04:02:09,,,,
285,"team822 南京邮电大学",5,12:56:00,"01:43:04 (-3)",(-6),"00:51:42 (-2)","01:45:34 (-1)","02:46:26 (-5)",,02:09:14,(-1),,,
286,"team484 华南理工大学",5,12:56:08,"01:42:59 (-1)",,00:41:26,"01:08:44 (-3)","03:49:54 (-4)",(-4),"02:33:05 (-1)",,,,
287,"team725 西安电子科技大学",5,13:10:17,"00:34:45 (-4)","04:53:28 (-2)","01:30:00 (-3)",01:03:38,02:08:26,,(-1),,,(-1),
288,"team583 福州大学",5,13:11:00,"01:55:56 (-3)",,"01:22:26 (-4)",01:36:55,02:17:56,,03:37:47,,,,
289,"team1025 贵州大学",5,13:18:42,"01:58:12 (-3)",,"01:30:24 (-2)",01:25:59,02:27:47,,04:16:20,,,,
290,"team723 西安电子科技大学",5,13:36:50,"02:36:45 (-3)",,"01:14:54 (-2)",01:30:29,02:16:52,,04:17:50,,,,
291,"team1014 杭州电子科技大学",5,13:44:23,"00:51:09 (-3)",,"00:32:20 (-3)","00:47:26 (-1)","03:33:04 (-5)",,"03:40:24 (-1)",,,,
292,"team972 天津大学",5,13:46:45,"00:54:56 (-2)",(-2),"00:46:38 (-2)",01:06:09,"03:23:05 (-2)",,"04:35:57 (-3)",,,,
293,"team211 浙江理工大学",5,13:51:31,"01:23:31 (-5)",,00:36:41,"01:11:41 (-1)","01:59:29 (-1)",(-6),"04:00:09 (-7)",,,,
294,"team880 复旦大学",5,13:52:41,00:39:23,,"01:02:20 (-2)",01:21:00,"03:51:47 (-3)",(-2),"04:58:11 (-1)",,,,
295,"team420 湘潭大学",5,13:55:17,"01:30:13 (-2)",,01:36:42,00:41:37,"04:37:18 (-4)",,03:29:27,,,,
296,"team652 西南科技大学",5,13:57:39,"02:00:16 (-2)",,"01:17:40 (-1)",01:25:49,"03:04:25 (-2)",,04:29:29,,,,
297,"team310 北京邮电大学",5,14:09:05,"00:30:52 (-1)",,"01:31:13 (-2)","02:24:33 (-4)",02:27:10,,04:55:17,,,,
298,"team125 南京外国语学校",5,14:16:40,"01:29:33 (-3)",(-1),"02:02:26 (-2)","01:28:02 (-6)","02:51:48 (-1)",,02:24:51,,,,
299,"team079 安徽农业大学",5,14:19:58,"00:57:34 (-1)",,01:28:30,01:49:48,"03:49:55 (-3)",,04:54:11,,,,
300,"team558 上海师范大学",5,14:21:03,"00:44:06 (-1)",,00:17:19,"00:46:47 (-4)","04:52:04 (-9)",,03:00:47,,,,
301,"team755 华中师范大学",5,14:25:27,"00:52:49 (-1)",(-5),"02:15:28 (-2)",01:56:24,"03:11:38 (-2)",,"04:09:08 (-1)",,,,(-2)
302,"team549 武汉纺织大学",5,14:28:02,"01:40:57 (-5)",(-1),"01:17:56 (-6)","01:03:36 (-1)","02:17:03 (-1)",,03:48:30,,,,
303,"team660 广州外语外贸大学",5,14:40:10,"01:27:14 (-7)",,"00:27:11 (-1)","00:29:24 (-1)","04:18:26 (-6)",,02:57:55,,,,
304,"team053 东北大学",5,14:43:14,"01:40:46 (-5)",,00:31:00,01:11:31,"04:25:13 (-6)",,"02:54:44 (-1)",,,,
305,"team039 南阳师范学院",5,14:47:57,"00:58:53 (-3)",,"02:26:00 (-2)","01:22:21 (-1)","03:49:16 (-1)",,03:51:27,,,,
306,"team1018 杭州电子科技大学",5,14:48:18,"02:19:06 (-1)",,"01:41:04 (-1)","02:58:23 (-2)",02:43:15,,03:46:30,,,,
307,"team582 福州大学",5,14:56:27,"03:55:18 (-7)",(-1),00:29:48,01:06:17,02:23:25,,"04:21:39 (-1)",,,,(-7)
308,"team1051 中山市中山纪念中学",5,15:00:34,"01:38:24 (-7)",,00:38:51,00:59:10,"04:15:05 (-3)",,04:09:04,,,,
309,"team181 广东工业大学",5,15:12:17,00:47:21,,"00:44:16 (-1)",00:30:26,"04:30:57 (-12)",,04:19:17,,,,
310,"team213 浙江理工大学",5,15:24:38,"02:27:26 (-2)",,"01:49:34 (-7)",00:54:09,"03:12:37 (-1)",,03:40:52,,,,
311,"team305 北京邮电大学",5,15:37:05,"03:28:23 (-5)",,"02:11:50 (-2)",00:48:41,"02:43:02 (-1)",,03:45:09,(-2),,,
312,"team524 厦门大学",5,15:48:10,"01:38:56 (-3)",,01:59:38,"02:18:11 (-1)","03:19:48 (-1)",,04:51:37,,,,
313,"team645 南京信息工程大学",5,15:49:19,"01:24:46 (-1)",(-7),"01:40:29 (-4)",01:53:12,03:43:03,,"04:47:49 (-2)",,,,
314,"team116 南京外国语学校",5,15:52:12,"00:59:24 (-4)",,"01:10:08 (-5)",02:22:48,"03:43:49 (-4)",,03:16:03,,,,
315,"team172 湖南师范大学",5,15:55:43,"01:55:05 (-3)",,"00:51:03 (-5)",00:55:58,"02:56:41 (-6)",,04:36:56,,,,
316,"team994 东南大学",5,16:02:07,"01:28:47 (-1)",,"01:50:28 (-3)","01:45:00 (-4)","02:53:19 (-2)",,04:44:33,,,,
317,"team782 浙江财经大学",5,16:23:06,"02:11:20 (-5)",,"00:39:00 (-2)",01:09:21,"04:04:46 (-2)",,"04:58:39 (-1)",,,,
318,"team662 北方工业大学",5,16:40:30,"00:51:10 (-4)",,"01:30:26 (-1)","01:33:41 (-2)","04:01:46 (-3)",,"04:43:27 (-2)",,,,
319,"team192 广东工业大学",5,16:46:44,"02:36:25 (-7)",(-1),"01:52:35 (-3)","01:10:32 (-1)",03:36:42,,03:50:30,,,,
320,"team450 西安电子科技大学",5,16:51:15,"02:28:24 (-6)",,"00:43:49 (-2)","02:16:59 (-3)","03:19:29 (-1)",,"03:42:34 (-1)",,,,
321,"team068 浙江工业大学",5,18:13:56,"01:47:37 (-5)","04:19:36 (-2)","02:06:03 (-2)","01:54:02 (-5)",03:26:38,,,(-1),,,
322,"team551 清华大学",5,18:33:35,03:37:25,"03:34:48 (-7)","02:03:29 (-1)",02:31:57,04:05:56,(-1),,,,(-1),
323,"team659 重庆工程学院",5,18:59:36,"02:46:35 (-8)",,"03:02:03 (-1)",03:09:51,"02:30:10 (-1)",,04:10:57,,,,
324,"team162 山东理工大学",5,19:08:16,"00:37:58 (-1)",,"01:32:34 (-4)","02:47:20 (-2)","04:54:35 (-5)",,"04:35:49 (-2)",,,,
325,"team233 长安大学",5,19:37:44,"01:26:49 (-1)","04:39:09 (-4)","00:45:25 (-2)","02:13:05 (-12)","03:33:16 (-2)",(-2),,,,,
326,"team130 南京外国语学校",5,19:38:39,"04:34:25 (-15)","04:35:04 (-1)",00:18:48,00:32:37,04:17:45,,,,,,
