Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team611 衢州第二中学",12,15:57:39,00:31:26,00:30:37,00:42:11,"01:47:16 (-1)","00:12:58 (-1)",00:29:17,"00:21:29 (-2)",02:21:18,"01:47:00 (-1)",00:57:47,01:08:10,03:28:10
2,"team621 海亮高级中学",12,18:25:03,"00:32:42 (-1)",00:39:01,00:17:02,"01:21:47 (-2)","00:21:13 (-2)",00:25:14,00:13:41,"02:22:49 (-1)",00:57:57,01:12:09,"03:00:25 (-1)","03:41:03 (-3)"
3,"team904 北京大学",12,18:46:20,"00:44:36 (-1)",01:13:08,00:50:25,02:01:51,00:22:42,01:18:41,00:30:15,"02:45:35 (-1)",00:17:52,01:42:30,02:21:30,03:57:15
4,"team901 北京大学",12,21:45:51,"00:12:55 (-1)",00:29:50,00:37:20,"01:36:50 (-5)","00:17:36 (-1)",00:48:41,"00:41:50 (-1)","02:35:45 (-5)","00:34:38 (-1)","01:39:20 (-1)","03:14:33 (-1)","03:16:33 (-1)"
5,"team902 北京大学",12,24:50:05,00:54:35,00:40:39,00:49:53,"03:32:34 (-3)","00:17:03 (-1)",00:49:13,00:31:13,"03:19:08 (-2)","01:11:51 (-1)","02:22:30 (-1)",03:10:47,"03:50:39 (-2)"
6,"team104 南京外国语学校",12,34:21:47,"00:53:31 (-1)",00:30:25,"00:47:56 (-1)","03:27:09 (-3)","00:39:05 (-3)",01:02:46,"01:02:08 (-1)","03:55:29 (-1)","04:53:35 (-10)","00:36:14 (-4)","04:16:59 (-1)","02:56:30 (-3)"
7,"team1049 长沙市长郡中学",11,20:44:53,"00:22:24 (-1)","00:49:29 (-1)",00:27:46,"02:33:03 (-1)","00:15:03 (-4)",00:38:00,00:20:32,"02:41:58 (-3)","01:35:23 (-2)","01:45:25 (-3)","03:35:50 (-2)",
8,"team956 杭州第二中学",11,24:07:32,00:26:42,00:28:16,"00:41:45 (-1)","03:51:52 (-2)",00:02:46,00:16:16,00:10:11,"03:16:05 (-11)","02:53:47 (-4)","01:27:03 (-3)",03:32:49,
9,"team103 南京外国语学校",11,32:31:04,"01:37:16 (-1)","02:21:27 (-2)",01:16:37,"01:02:57 (-7)","00:16:06 (-5)","02:57:22 (-4)","01:09:19 (-1)","01:16:20 (-3)","02:54:36 (-9)",02:41:29,"03:37:35 (-2)",
10,"team882 复旦大学",11,32:51:25,"01:21:23 (-3)",02:02:58,00:48:52,"04:53:10 (-7)","00:08:06 (-1)","02:39:25 (-2)","01:38:02 (-3)","04:33:47 (-6)",02:25:25,"01:14:18 (-1)",03:25:59,
11,"team1039 南京市第一中学",10,16:58:37,"00:49:59 (-1)",01:34:03,00:34:12,"03:25:14 (-1)",00:06:55,01:06:13,00:12:11,,02:04:38,02:32:29,03:52:43,
12,"team951 杭州第二中学",10,19:56:08,"00:55:46 (-4)","01:00:12 (-4)",00:29:29,"02:44:45 (-1)",00:16:33,"01:04:33 (-1)",00:21:15,(-2),"02:00:53 (-9)","00:52:09 (-2)",03:10:33,
13,"team478 长沙市长郡中学",10,20:03:07,"01:23:45 (-1)","02:21:23 (-1)","00:46:50 (-1)","03:29:26 (-3)",00:23:28,"00:20:50 (-1)",00:30:16,(-2),02:05:58,"01:29:03 (-1)","03:52:08 (-2)",
14,"team617 绍兴一中",10,20:05:02,01:13:16,01:42:37,00:50:53,02:26:19,00:17:50,01:33:47,"00:35:37 (-1)","04:40:19 (-1)",02:30:25,03:33:59,(-1),
15,"team294 南方科技大学",10,23:09:13,"01:21:03 (-1)",00:46:55,00:54:08,02:55:13,"00:37:43 (-1)","01:30:41 (-2)",00:40:46,"04:30:00 (-5)","01:41:37 (-1)","04:11:07 (-2)",,
16,"team1053 中山市中山纪念中学",10,23:21:59,"01:54:27 (-1)",01:29:00,01:12:06,02:51:41,00:35:19,"02:23:30 (-2)","00:26:45 (-1)","04:43:33 (-2)","01:27:11 (-3)","02:58:27 (-1)",,
17,"team620 绍兴一中",10,25:43:56,01:15:56,01:24:45,00:38:05,02:26:58,"01:13:50 (-2)",01:35:19,"00:58:03 (-1)",,"03:46:54 (-6)","04:00:13 (-3)",04:23:53,
18,"team953 杭州第二中学",10,29:21:14,"01:42:01 (-7)","01:59:59 (-1)",00:39:06,"02:51:06 (-2)","00:44:21 (-6)","01:06:57 (-2)",00:15:18,,"03:56:47 (-7)","02:25:44 (-1)","04:39:55 (-1)",
19,"team102 南京外国语学校",9,16:51:52,00:25:49,"01:47:44 (-2)",01:03:01,(-2),"00:06:31 (-1)","02:16:24 (-1)","00:23:26 (-1)",(-12),"00:56:42 (-2)","03:12:39 (-5)","01:39:36 (-3)",(-1)
20,"team598 温州中学",9,18:04:43,"00:41:57 (-2)","01:18:25 (-1)",01:01:32,"02:54:02 (-3)","00:12:16 (-1)",01:30:51,"00:32:30 (-2)",(-12),"02:51:23 (-3)","02:21:47 (-2)",,
21,"team954 杭州第二中学",9,18:27:05,"01:18:08 (-1)",01:15:51,01:27:37,(-4),"00:14:32 (-2)",00:57:18,"00:29:26 (-1)",,03:21:34,"03:06:38 (-1)",04:36:01,
22,"team684 南京大学",9,19:57:27,00:51:09,"01:31:16 (-2)",00:20:07,"04:49:03 (-3)",00:07:50,01:21:27,"01:01:02 (-2)",,"03:30:10 (-4)","02:25:23 (-1)",,
23,"team622 海亮高级中学",9,20:00:15,00:49:18,"00:28:32 (-1)",01:54:28,"03:52:35 (-3)","00:11:55 (-1)","01:00:15 (-1)",00:31:48,(-9),"02:54:04 (-9)","02:17:20 (-3)",,
24,"team295 南方科技大学",9,20:28:51,00:51:59,01:28:38,"00:10:30 (-1)","04:25:22 (-5)","00:22:02 (-1)",01:43:47,"00:44:23 (-3)",,"03:35:39 (-3)",02:46:31,,
25,"team571 深圳中学",9,20:34:38,"00:23:38 (-2)","01:15:13 (-1)","00:38:59 (-1)","03:41:50 (-1)","00:31:50 (-4)",01:14:18,00:35:41,,"04:26:19 (-5)","02:46:50 (-1)",,
