Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
25,"team294 南方科技大学",8,25:08:57,00:31:03,"03:45:23 (-3)","04:42:20 (-8)","04:09:51 (-4)",,,"00:24:02 (-2)","01:35:32 (-2)",,,"01:19:30 (-4)","00:21:16 (-2)"
26,"team123 南京外国语学校",8,27:25:48,02:25:43,"02:21:09 (-1)","04:00:02 (-3)",,01:56:12,(-3),"03:43:59 (-1)","04:31:21 (-2)",,,"02:48:28 (-1)","02:18:54 (-2)"
27,"team881 复旦大学",7,10:39:18,00:09:03,03:29:42,(-3),"02:12:18 (-1)",,,01:20:16,00:47:44,,,01:06:26,"00:33:49 (-2)"
28,"team121 南京外国语学校",7,10:46:27,00:19:42,"01:44:50 (-1)","02:55:51 (-4)",,,,00:50:55,"00:48:10 (-1)",,,00:40:17,"00:26:42 (-3)"
29,"team297 南方科技大学",7,10:49:20,00:25:19,02:40:08,"00:46:08 (-3)",,,,00:52:44,"01:50:32 (-4)",,,"01:25:49 (-1)",00:08:40
30,"team551 清华大学",7,11:58:02,"01:24:28 (-1)",02:31:03,"02:18:31 (-4)",,,,"00:47:31 (-2)","00:46:08 (-1)",,,01:06:13,00:24:08
31,"team413 武汉大学",7,12:26:49,00:06:46,"01:59:54 (-6)","03:11:48 (-2)",(-2),,,01:00:27,00:56:39,,(-5),"00:33:51 (-1)","00:17:24 (-4)"
32,"team061 浙江工业大学",7,12:47:31,00:33:50,"02:54:55 (-3)","03:12:44 (-1)",,,(-1),"00:47:54 (-1)",01:16:41,,,02:01:47,00:19:40
33,"team581 福州大学",7,13:06:43,00:27:09,03:03:46,(-6),,,"03:09:41 (-2)",01:10:30,"01:34:50 (-1)",,,01:44:24,"00:16:23 (-2)"
34,"team366 长沙市雅礼中学",7,13:07:48,00:10:33,"04:01:57 (-1)","02:40:58 (-3)",,,,00:36:40,"01:06:58 (-1)",,,"01:28:20 (-3)",00:22:22
35,"team1024 高老师训练营（中学）",7,13:13:57,"00:14:00 (-1)",(-8),"01:42:43 (-3)",(-3),"03:59:55 (-1)",,00:47:56,00:33:14,,(-4),"01:50:15 (-5)","00:25:54 (-1)"
36,"team540 北京交通大学",7,13:41:50,00:14:24,01:53:13,"04:41:32 (-4)",,,,"01:11:33 (-1)","02:10:22 (-1)",,,00:35:23,"00:15:23 (-2)"
37,"team264 北京理工大学",7,14:48:56,00:16:17,02:36:22,"04:16:31 (-10)",,,,01:11:16,"01:03:30 (-2)",,,"00:34:55 (-1)","00:10:05 (-1)"
38,"team295 南方科技大学",7,15:14:17,00:35:19,"04:09:34 (-5)","02:39:03 (-4)",,,,"00:59:06 (-1)",00:28:14,,(-9),"01:05:55 (-1)","00:37:06 (-3)"
39,"team367 长沙市雅礼中学",7,15:22:12,"00:14:21 (-1)",02:21:25,"04:47:20 (-8)",,,,"01:31:10 (-3)","01:32:19 (-1)",,,00:27:38,00:07:59
40,"team790 香港科技大学（广州）",7,15:35:53,00:32:00,"03:36:33 (-2)","04:39:04 (-7)",,,,00:47:02,"01:11:06 (-1)",,,01:24:50,00:05:18
41,"team011 华东师范大学",7,15:44:58,00:13:16,"02:12:08 (-4)","04:16:13 (-3)",(-1),,(-1),00:52:59,"02:23:58 (-1)",,,"01:45:47 (-3)",00:20:37
42,"team1031 金陵中学河西分校",7,15:57:07,"00:17:31 (-4)","03:01:01 (-7)","02:21:46 (-5)",,,,00:35:21,"01:05:08 (-3)",,,01:14:24,"00:21:56 (-2)"
43,"team293 南方科技大学",7,15:57:33,00:22:05,03:05:43,"03:40:10 (-10)",(-2),,,"01:35:09 (-1)","00:43:33 (-2)",,(-3),"00:59:40 (-2)","00:11:13 (-1)"
44,"team534 电子科技大学",7,16:16:48,00:21:31,"03:08:00 (-2)","04:35:32 (-4)",,(-1),,"00:46:34 (-1)","01:53:54 (-3)",,,"00:56:52 (-2)","00:14:25 (-1)"
45,"team811 重庆市育才中学",7,16:44:19,"00:29:52 (-1)","03:33:31 (-9)","03:33:37 (-3)",,,,"00:18:11 (-1)",00:48:00,,,"01:27:05 (-3)","00:14:03 (-2)"
46,"team304 北京邮电大学",7,16:56:20,00:14:08,03:27:43,"04:26:35 (-5)",,,,01:18:21,"02:31:15 (-6)",,,"00:49:49 (-1)",00:08:29
47,"team871 复旦大学",7,18:22:20,00:24:09,"02:59:27 (-1)","04:59:28 (-5)",,,,00:47:52,"03:34:53 (-6)",,,01:00:00,"00:16:31 (-1)"
48,"team532 电子科技大学",7,18:29:55,00:30:10,"04:30:27 (-5)",(-2),,,04:58:07,"02:05:44 (-1)","02:00:59 (-3)",,,00:48:04,"00:16:24 (-1)"
49,"team580 福州大学",7,21:11:44,00:46:57,"03:47:07 (-4)","04:41:40 (-15)",,,,01:02:23,"02:02:02 (-1)",,,01:13:21,"00:38:14 (-1)"
50,"team954 杭州第二中学",7,21:45:06,"00:48:16 (-1)","04:19:03 (-13)",(-7),03:34:31,,,"00:59:57 (-1)","03:30:06 (-1)",,,02:05:40,"00:27:33 (-2)"
51,"team105 南京外国语学校",7,21:47:42,00:14:33,"01:57:14 (-3)","04:58:46 (-22)",,,,00:32:57,"00:22:57 (-1)",,,"01:29:42 (-7)","00:11:33 (-3)"
52,"team365 长沙市雅礼中学",7,23:22:03,"00:09:57 (-1)","04:45:21 (-6)","03:12:29 (-19)",,(-1),,"00:25:24 (-2)",00:35:52,,,"01:21:02 (-10)",00:11:58
53,"team103 南京外国语学校",6,06:05:09,"00:12:41 (-3)",01:14:08,(-2),(-77),,,00:51:20,"00:37:13 (-5)",,(-21),00:24:58,00:04:49
54,"team623 海亮高级中学",6,06:18:58,00:11:23,,"01:05:47 (-2)",,,,00:47:07,"00:24:58 (-2)",,(-1),"01:35:21 (-1)","00:14:22 (-1)"
55,"team952 杭州第二中学",6,06:32:12,00:14:00,01:38:46,(-2),,,,00:24:57,"00:49:54 (-1)",,,"01:14:05 (-4)","00:10:30 (-1)"
56,"team622 海亮高级中学",6,07:17:36,00:37:19,"01:56:29 (-4)",(-9),(-1),,,00:29:43,"00:52:35 (-1)",,,01:22:27,00:19:03
57,"team935 哈尔滨工业大学",6,08:30:12,00:11:02,"01:58:16 (-3)",,,,,00:38:08,"00:52:59 (-1)",,,01:24:07,"00:25:40 (-5)"
58,"team872 复旦大学",6,09:01:35,00:16:19,(-14),"02:45:40 (-1)",,,,00:48:49,"01:45:52 (-2)",,,01:52:15,"00:12:40 (-1)"
59,"team957 杭州第二中学",6,09:06:43,"00:27:10 (-1)","03:03:15 (-1)",(-6),,,,00:47:38,01:30:47,,,"01:49:32 (-2)",00:08:21
60,"team990 山东大学",6,09:26:18,00:29:27,"03:48:08 (-3)",(-4),(-3),,,"01:16:38 (-2)",01:17:53,,,00:38:52,00:15:20
61,"team152 清华大学附属中学",6,09:29:01,"00:17:41 (-1)","02:25:42 (-1)",(-13),(-3),,,00:44:20,"01:11:02 (-2)",,,01:05:09,"00:45:07 (-5)"
62,"team759 武汉大学",6,09:30:07,00:27:14,"02:43:19 (-2)",,,,,01:12:43,"01:41:46 (-3)",,,"00:46:21 (-1)","00:18:44 (-1)"
63,"team853 华中科技大学",6,09:39:55,00:10:57,"02:33:50 (-1)",(-12),,,,01:08:42,"01:22:07 (-2)",,,02:07:59,"00:36:20 (-2)"
64,"team481 华南理工大学",6,09:49:05,00:39:17,,"04:53:16 (-2)",,,,00:54:46,01:36:39,,,00:32:27,"00:12:40 (-1)"
65,"team555 清华大学",6,10:26:14,"00:37:40 (-1)",,"04:15:01 (-2)",(-1),,,00:52:30,01:12:50,,,01:51:10,"00:17:03 (-1)"
66,"team369 长沙市雅礼中学",6,10:26:59,"00:18:24 (-2)",04:52:18,(-8),,,,00:51:47,"01:18:17 (-3)",,,"00:58:36 (-1)",00:07:37
67,"team448 西安电子科技大学",6,10:29:08,"00:24:31 (-1)","03:06:52 (-1)",(-12),,,,"00:44:17 (-3)",01:40:45,,,01:20:59,"00:31:44 (-3)"
68,"team263 北京理工大学",6,10:31:44,00:21:06,"03:58:42 (-4)",(-7),,,,"01:22:11 (-2)",01:36:25,,,"00:39:25 (-1)",00:13:55
69,"team339 北京信息科技大学",6,10:49:49,"00:44:26 (-2)","03:33:18 (-3)",(-14),,,,01:03:08,"00:21:20 (-1)",,,"01:39:49 (-2)","00:27:48 (-1)"
70,"team801 哈尔滨工业大学",6,11:02:30,00:33:28,"04:02:56 (-3)",(-9),,,,"00:34:16 (-1)","02:18:54 (-2)",,,01:21:48,00:11:08
71,"team883 复旦大学",6,11:05:20,"01:09:39 (-1)",,"04:15:11 (-3)",,,,"01:08:24 (-2)",01:41:18,,,00:26:27,00:24:21
72,"team873 复旦大学",6,11:17:22,00:42:48,(-2),(-2),"03:45:45 (-8)",,,00:27:35,01:04:26,,,01:18:01,"00:38:47 (-2)"
73,"team674 南京大学",6,11:26:23,00:26:47,,"04:37:48 (-2)",,,,"01:42:06 (-1)",00:34:18,,,02:47:20,00:18:04
74,"team869 香港大学",6,11:32:02,"00:38:45 (-1)","02:15:46 (-2)",,,,,01:32:35,02:37:54,,,02:52:02,"00:15:00 (-1)"
75,"team446 西安电子科技大学",6,11:37:43,00:34:03,"03:37:16 (-5)",(-4),,,,01:42:20,"01:01:16 (-1)",,,01:22:11,"00:40:37 (-2)"
76,"team1058 中山市中山纪念中学",6,11:41:02,00:41:39,03:47:18,"01:37:42 (-1)",,,,"01:42:35 (-1)",,,,02:00:57,"00:30:51 (-2)"
77,"team879 复旦大学",6,11:41:33,00:17:33,"03:57:20 (-4)",,,,,01:52:14,"02:10:25 (-2)",,(-6),00:49:19,"00:14:42 (-1)"
78,"team961 浙江师范大学",6,11:53:08,00:36:00,"04:24:48 (-3)",,,,,00:54:03,01:28:17,,,"02:10:26 (-3)",00:19:34
79,"team874 复旦大学",6,11:55:35,"00:40:56 (-1)","03:51:51 (-3)",(-7),,,,"01:43:04 (-2)","01:14:18 (-1)",,,"01:01:37 (-1)",00:43:49
80,"team454 北京化工大学",6,11:59:54,00:30:45,"03:22:51 (-1)",(-7),,,,"01:24:44 (-3)","02:17:11 (-3)",,,01:02:56,"00:21:27 (-2)"
81,"team536 电子科技大学",6,12:03:26,00:25:06,(-4),"03:14:20 (-3)",,,,"02:32:04 (-7)",01:13:58,,,"00:42:16 (-1)",00:15:42
82,"team004 华东师范大学第二附属中学",6,12:05:31,"00:09:44 (-1)","04:27:51 (-9)",(-9),,(-2),,00:30:17,"00:55:45 (-2)",,,01:07:38,"00:14:16 (-2)"
83,"team682 南京大学",6,12:07:05,00:05:58,"03:25:44 (-1)",(-9),,,,"01:55:49 (-1)","01:38:11 (-3)",,,"01:33:01 (-1)","00:28:22 (-3)"
84,"team535 电子科技大学",6,12:24:33,"00:21:05 (-1)",,"04:45:06 (-2)",,,,"00:49:56 (-1)","00:42:01 (-1)",,,"02:37:44 (-2)","00:28:41 (-1)"
85,"team141 上海理工大学",6,12:29:01,00:41:26,(-1),"03:23:56 (-5)",,,,"00:31:03 (-2)","01:28:47 (-1)",,,"01:42:47 (-1)","01:01:02 (-2)"
86,"team716 吉林大学",6,12:34:20,00:18:30,"03:58:31 (-3)",(-6),,,,01:35:38,"02:16:07 (-4)",,,01:15:13,"00:10:21 (-2)"
87,"team501 南京航空航天大学",6,12:46:01,00:12:24,,"04:27:00 (-6)",,,,"01:17:38 (-1)",01:23:58,,,01:56:26,"00:28:35 (-2)"
88,"team758 武汉科技大学",6,12:56:45,"01:44:38 (-3)","01:21:20 (-4)",(-5),,,,01:44:58,"02:31:33 (-1)",,,02:45:07,00:09:09
89,"team298 南方科技大学",6,12:57:54,"00:40:34 (-1)",,"04:08:05 (-7)",,,,"01:08:15 (-1)","02:30:57 (-1)",,,00:38:27,"00:11:36 (-1)"
90,"team370 浙大城市学院",6,13:07:34,00:49:31,"04:21:10 (-5)",(-1),,,,"01:26:28 (-1)",02:05:41,,,02:11:50,00:12:54
91,"team970 天津大学",6,13:07:57,"00:45:22 (-1)",,"03:39:50 (-3)",(-10),,,"01:58:03 (-4)",01:28:41,,,02:26:15,00:09:46
92,"team880 复旦大学",6,13:08:13,"00:45:27 (-1)","04:30:15 (-8)",(-5),(-2),,,00:31:32,01:35:47,,,01:16:41,"00:48:31 (-2)"
93,"team875 复旦大学",6,13:32:12,"00:22:04 (-1)","03:46:41 (-1)",(-2),,,,00:50:11,"02:11:59 (-3)",,,"01:59:04 (-2)","01:02:13 (-3)"
94,"team221 大连海事大学",6,13:40:39,"00:34:16 (-1)",,"04:26:10 (-2)",,,,"01:15:44 (-1)","01:44:46 (-2)",,,02:14:00,"00:45:43 (-2)"
95,"team814 重庆市育才中学",6,13:42:32,00:45:36,"04:40:18 (-8)",(-5),,,,00:25:01,01:02:06,,,"02:02:24 (-2)","00:27:07 (-3)"
96,"team1028 广东工业大学",6,13:43:10,00:24:41,,"04:36:03 (-7)",,,,01:01:07,01:23:48,,,02:20:44,"00:16:47 (-4)"
97,"team936 东北大学秦皇岛分校",6,14:07:39,00:34:25,"04:18:40 (-2)",(-3),,,,01:17:14,01:57:57,,,"02:30:32 (-2)","00:48:51 (-4)"
98,"team715 吉林大学",6,14:13:30,00:54:30,"03:29:46 (-1)",(-10),(-1),,,"01:55:48 (-1)","02:12:21 (-2)",,,"01:33:45 (-1)","01:07:20 (-4)"
99,"team775 西安交通大学",6,14:37:12,00:19:40,"04:45:36 (-10)",,,,,00:38:42,"02:33:00 (-3)",,,"01:13:21 (-2)",00:06:53
100,"team414 深圳中学",6,14:42:37,"00:21:23 (-2)",,"04:41:29 (-5)",,,,00:44:26,"02:21:47 (-4)",,,01:22:51,"00:50:41 (-2)"
101,"team1040 南京市第一中学",6,14:45:09,00:20:20,,"04:30:19 (-14)",,(-2),,00:44:49,"01:07:31 (-2)",,,01:01:13,"00:20:57 (-4)"
102,"team490 山东省烟台市第二中学",6,15:10:48,"01:30:26 (-2)",,"04:41:56 (-4)",,,,"00:20:11 (-1)","02:38:54 (-3)",,,"01:53:43 (-1)",00:25:38
103,"team296 南方科技大学",6,15:24:52,00:10:09,"04:06:45 (-3)",,,,,00:57:30,01:43:11,,,"04:36:17 (-3)","00:31:00 (-4)"
104,"team109 南京外国语学校",6,15:32:34,00:27:47,,"03:59:14 (-11)",,,,"01:08:38 (-2)",02:50:50,,,"01:02:31 (-2)","00:23:34 (-2)"
105,"team306 北京邮电大学",6,15:33:55,00:50:41,04:37:04,(-6),,,,01:21:15,"03:36:39 (-7)",,,"01:10:17 (-2)","00:37:59 (-1)"
106,"team052 东北大学",6,15:47:19,00:37:41,(-4),"04:54:18 (-5)",,,,"01:31:27 (-1)","03:11:10 (-4)",,,01:34:33,"00:18:10 (-1)"
107,"team106 南京外国语学校",6,15:49:10,"00:28:05 (-3)","04:00:35 (-4)",(-15),,,,"00:44:21 (-5)","01:41:55 (-2)",,,"02:59:21 (-1)","00:14:53 (-2)"
108,"team725 西安电子科技大学",6,15:59:40,"02:12:21 (-2)","04:08:41 (-2)",(-7),,,,"02:55:28 (-2)","01:35:57 (-3)",,,01:00:20,"00:26:53 (-2)"
109,"team333 同济大学",6,16:11:54,00:20:39,,(-5),,,,00:40:47,01:06:12,,"04:55:16 (-10)","03:14:34 (-5)","00:14:26 (-2)"
110,"team303 北京邮电大学",6,16:17:40,01:08:56,,"04:19:30 (-3)",,,,"02:33:13 (-1)","02:09:17 (-3)",,,"01:53:06 (-2)","00:33:38 (-2)"
111,"team855 华中科技大学",6,16:30:58,01:01:25,04:19:48,(-13),,,,"00:50:14 (-3)","04:12:37 (-6)",,,02:10:01,"00:16:53 (-2)"
112,"team530 厦门大学",6,16:35:54,"02:59:48 (-1)","02:16:09 (-1)",(-9),,,,01:50:53,"01:13:27 (-2)",,,"04:26:52 (-1)","00:48:45 (-4)"
113,"team012 华东师范大学",6,16:57:49,01:04:03,,"03:45:36 (-2)",,,,"02:33:10 (-2)","04:07:12 (-1)",,,03:25:57,00:21:51
114,"team091 长沙理工大学",6,17:07:10,00:45:27,,"04:25:17 (-5)",,,,"01:56:12 (-2)","03:45:23 (-4)",,,01:45:38,"00:29:13 (-1)"
115,"team842 南京大学",6,17:38:39,00:14:49,,"04:25:33 (-8)",,,,"03:05:29 (-1)","01:32:55 (-5)",,,"01:46:19 (-4)","00:13:34 (-1)"
116,"team851 华中科技大学",6,17:58:20,00:24:20,,"04:12:46 (-14)",,,,00:58:20,"02:04:51 (-6)",,,"02:26:55 (-3)",00:11:08
117,"team130 南京外国语学校",6,18:37:47,"01:40:10 (-1)","03:58:38 (-2)",,,,,"01:49:42 (-2)","02:44:04 (-11)",,,02:06:33,00:58:40
118,"team153 清华大学附属中学",6,18:55:02,"00:23:54 (-1)",,"04:56:50 (-5)",,,,"01:23:09 (-2)","04:28:57 (-1)",,,"02:42:00 (-1)","00:40:12 (-3)"
119,"team256 东华大学",6,19:32:01,"01:29:19 (-3)",,"04:53:13 (-10)",,,,01:24:10,"03:17:34 (-5)",,,02:16:08,00:11:37
120,"team719 吉林大学",6,22:21:08,00:22:25,"04:04:29 (-12)",(-6),,,,"01:08:50 (-2)","04:11:40 (-12)",,,02:10:20,"01:03:24 (-2)"
121,"team108 南京外国语学校",6,22:56:12,00:22:05,"04:35:51 (-8)",,,,,"01:58:56 (-1)","01:11:57 (-2)",,,"03:43:40 (-14)","01:23:43 (-4)"
122,"team845 四川省成都市第七中学",6,23:20:15,"00:38:20 (-1)",,"03:51:00 (-18)",,,(-2),"00:54:32 (-2)","02:10:15 (-9)",,,02:15:26,"01:10:42 (-7)"
123,"team816 重庆市育才中学",6,24:26:47,01:55:31,"04:33:07 (-2)",(-8),,,,"01:39:10 (-8)","03:26:50 (-5)",,,"03:09:36 (-6)","01:22:33 (-4)"
124,"team229 天津仁爱学院",6,24:31:50,00:56:21,"03:54:26 (-8)",,,,,"03:29:55 (-7)","04:47:21 (-2)",,,04:59:31,"00:24:16 (-1)"
125,"team142 浙江万里学院",6,27:26:23,00:42:11,(-1),"04:25:27 (-10)",,(-1),,"01:13:30 (-2)","03:39:14 (-36)",,,01:07:22,00:18:39
126,"team778 西安交通大学",5,04:05:50,00:18:42,,(-4),,,,"00:47:38 (-1)","01:21:19 (-2)",,,00:28:00,00:10:11
127,"team571 深圳中学",5,04:45:42,00:17:11,(-4),,,,,"00:26:44 (-1)",02:54:16,,,00:35:20,00:12:11
128,"team147 武汉大学",5,05:02:51,00:18:44,(-6),(-13),,,,"01:39:24 (-2)",01:03:47,,,01:08:47,00:12:09
129,"team661 北方工业大学",5,05:05:37,00:24:20,,(-7),,,(-1),"01:15:36 (-1)",02:00:54,,,00:48:58,00:15:49
130,"team844 四川省成都市第七中学",5,05:29:14,01:09:24,,,(-1),,,00:47:10,01:37:18,,,01:21:05,"00:14:17 (-1)"
131,"team937 东北大学秦皇岛分校",5,05:54:59,00:18:19,(-8),(-7),,,,00:48:28,01:51:55,,,"02:24:41 (-1)",00:11:36
132,"team003 华东师范大学第二附属中学",5,05:57:25,"00:28:10 (-1)",,,,,,00:30:54,"01:26:28 (-6)",,,"00:38:36 (-1)",00:13:17
133,"team180 广东工业大学",5,06:38:52,00:22:56,,(-10),,,,"01:28:26 (-1)",02:54:09,,,01:10:34,00:22:47
134,"team013 华东师范大学",5,06:57:57,00:42:47,,(-8),,,,01:15:34,02:20:13,,,"01:33:36 (-1)","00:25:47 (-1)"
135,"team483 华南理工大学",5,06:59:56,00:22:56,,,,,,01:20:03,02:00:14,,,"01:40:53 (-3)","00:15:50 (-1)"
136,"team482 华南理工大学",5,07:05:28,00:16:34,,,,,,01:17:28,"02:54:28 (-1)",,,01:34:55,"00:22:03 (-1)"
137,"team511 浙江科技大学",5,07:06:02,00:32:04,,(-26),,,,02:15:31,"01:15:34 (-2)",,,01:32:52,"00:10:01 (-2)"
138,"team166 北京林业大学",5,07:10:36,00:18:33,(-14),(-1),,,(-1),"01:15:42 (-1)",02:08:10,,,01:55:14,"00:32:57 (-2)"
139,"team960 浙江师范大学",5,07:16:00,00:11:46,,(-7),,,,"00:48:15 (-1)",01:22:30,,,"02:19:36 (-6)",00:13:53
140,"team335 天津理工大学",5,07:16:04,"00:39:31 (-1)",,(-10),(-1),,,01:20:37,01:55:46,,,02:23:11,"00:16:59 (-1)"
141,"team582 福州大学",5,07:17:57,00:15:48,(-4),(-9),,,,"01:18:27 (-1)",01:11:43,,,"02:59:13 (-3)",00:12:46
142,"team112 南京外国语学校",5,07:22:56,"00:12:41 (-1)",,(-10),,,,00:28:15,"01:15:51 (-9)",,,01:40:31,"00:05:38 (-1)"
143,"team064 浙江工业大学",5,07:27:07,00:21:27,,,,,,01:51:51,"02:23:07 (-1)",,,"01:23:18 (-1)","00:27:24 (-1)"
144,"team211 浙江理工大学",5,07:30:07,00:32:39,,,,,,"02:04:24 (-3)",02:02:07,,(-1),00:58:29,"00:32:28 (-1)"
145,"team878 复旦大学",5,07:30:11,00:46:47,,(-5),,,,"01:00:38 (-1)","02:05:03 (-1)",,,02:00:42,"00:17:01 (-2)"
146,"team962 浙江师范大学",5,07:32:41,00:40:19,,(-1),,,,01:10:54,"02:35:34 (-1)",,,02:29:35,00:16:19
147,"team750 南京理工大学",5,07:38:45,"00:47:51 (-1)",,(-11),,,,01:11:10,"01:59:16 (-1)",,,02:34:57,00:25:31
148,"team175 莆田学院",5,07:38:48,00:29:54,,,,,,"02:03:50 (-1)",02:45:38,,(-39),00:51:38,"00:27:48 (-2)"
149,"team441 杭州师范大学",5,07:39:30,"01:00:45 (-1)",,(-1),,,,01:16:37,"02:22:06 (-1)",,,02:00:10,00:19:52
150,"team817 重庆市育才中学",5,07:52:15,"00:55:44 (-3)",,(-6),,,,00:28:56,"03:53:06 (-1)",,,00:14:06,"00:20:23 (-2)"
151,"team307 北京邮电大学",5,07:52:55,"00:34:18 (-2)",(-6),(-5),,,,00:39:24,"02:15:59 (-3)",(-4),,"01:21:32 (-2)","00:21:42 (-1)"
152,"team678 南京大学",5,08:01:00,00:30:45,,(-7),(-1),,,01:54:28,"02:42:24 (-1)",,,02:19:06,00:14:17
153,"team131 浙大宁波理工学院",5,08:14:42,01:10:14,,(-3),,,,"01:47:21 (-1)",02:13:48,,,02:32:11,00:11:08
