Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team901 北京大学",12,33:31:19,00:25:27,"02:54:28 (-3)","03:01:20 (-4)","01:56:42 (-2)",03:49:31,02:13:44,00:46:24,"00:42:09 (-2)","04:43:32 (-4)","04:53:30 (-2)","01:25:27 (-1)","00:19:05 (-1)"
2,"team900 南京市第一中学",11,25:19:59,00:05:16,00:49:35,"02:27:45 (-6)",01:53:21,04:39:29,"03:24:05 (-2)","01:09:09 (-2)","00:26:43 (-1)",(-8),"04:11:05 (-2)","00:59:45 (-1)","00:13:46 (-1)"
3,"team101 南京外国语学校",11,26:19:09,00:07:32,"01:39:39 (-2)","01:48:22 (-6)","02:47:58 (-4)","04:35:30 (-1)","01:07:01 (-3)","00:24:39 (-2)","00:46:21 (-2)",(-21),"03:33:19 (-1)","00:23:58 (-2)","00:24:50 (-3)"
4,"team904 北京大学",10,17:55:00,00:11:38,01:56:40,"01:38:16 (-2)","03:26:21 (-3)",02:40:16,,00:30:42,"00:21:43 (-1)",03:55:08,(-5),00:44:44,"00:09:32 (-1)"
5,"team620 绍兴一中",10,21:43:57,00:20:47,"01:56:04 (-2)","04:26:02 (-1)",00:39:27,"02:18:08 (-2)",,00:56:57,"01:02:42 (-1)",,"04:16:29 (-6)",01:14:11,00:33:10
6,"team611 衢州第二中学",10,26:43:04,01:04:30,01:44:15,"03:34:26 (-4)","02:26:54 (-2)",03:01:38,,01:19:53,"01:53:04 (-1)",,"04:58:48 (-2)",01:29:42,"01:09:54 (-3)"
7,"team1029 金陵中学河西分校",9,16:15:25,00:05:27,"02:23:29 (-2)","00:58:59 (-1)","03:23:41 (-4)",,"04:38:46 (-2)",00:20:11,00:33:11,,(-6),00:38:04,00:13:37
8,"team478 长沙市长郡中学",9,17:34:30,"00:32:47 (-1)","01:47:09 (-1)","01:35:08 (-2)",04:03:27,,,"00:49:48 (-2)",01:13:25,,"03:12:36 (-4)",00:29:26,"00:10:44 (-1)"
9,"team956 杭州第二中学",9,17:46:53,00:15:31,01:23:31,"02:08:27 (-2)","03:30:35 (-1)",04:34:38,,"00:54:21 (-2)","00:39:24 (-1)",,,"01:07:59 (-2)","00:12:27 (-1)"
10,"team260 北京理工大学",9,19:37:48,00:21:54,01:46:59,"03:26:26 (-2)",(-1),04:39:02,"04:37:54 (-1)",00:46:59,00:57:10,,,01:25:55,"00:15:29 (-1)"
11,"team951 杭州第二中学",9,20:58:10,00:16:27,"01:19:20 (-4)","01:32:29 (-2)","04:00:13 (-3)",,,"00:40:30 (-3)","00:36:12 (-2)",,"03:13:54 (-5)",00:54:26,"00:24:39 (-5)"
12,"team739 上海市曹杨第二中学",9,22:09:20,"00:27:16 (-1)","01:42:48 (-4)","02:53:10 (-3)",,"02:05:27 (-1)",,"00:46:01 (-3)",00:52:39,,"04:41:28 (-7)","01:26:07 (-2)",00:14:24
13,"team1052 中山市中山纪念中学",9,23:20:40,"00:14:25 (-1)","01:36:33 (-4)","03:56:44 (-5)","02:48:48 (-1)",(-2),,"01:41:46 (-1)","02:09:05 (-1)",(-2),"03:49:36 (-1)",01:31:07,"00:12:36 (-2)"
14,"team1053 中山市中山纪念中学",9,23:51:15,00:45:35,"03:06:40 (-3)","02:02:21 (-4)",,"04:18:59 (-3)",,00:48:24,00:36:12,,"04:35:15 (-2)",00:14:35,"01:03:14 (-7)"
15,"team953 杭州第二中学",9,25:36:33,"00:37:13 (-3)","01:26:23 (-1)","02:16:14 (-11)","04:08:11 (-3)","04:46:49 (-4)",,"00:17:26 (-1)","01:00:07 (-2)",,(-2),00:52:57,"00:31:13 (-4)"
16,"team408 厦门双十中学",9,28:11:35,00:32:53,"01:27:12 (-1)","03:07:51 (-5)","03:44:03 (-11)","04:30:28 (-7)",,"00:17:43 (-1)","01:03:48 (-5)",,(-2),"01:58:04 (-3)","00:09:33 (-1)"
17,"team102 南京外国语学校",8,12:40:58,00:29:26,01:35:07,"00:47:29 (-3)",,03:01:46,,"01:50:18 (-3)",00:19:54,(-1),,00:32:03,"00:44:55 (-4)"
18,"team684 南京大学",8,14:14:09,00:07:34,"02:09:21 (-1)","01:39:00 (-3)",(-9),"04:18:32 (-1)",,00:55:53,01:00:24,,,00:38:44,"00:44:41 (-3)"
19,"team104 南京外国语学校",8,14:42:36,00:10:02,02:01:33,"02:38:28 (-8)",,02:38:32,,00:37:12,"00:31:36 (-3)",,(-5),"01:27:19 (-1)","00:17:54 (-1)"
20,"team950 杭州第二中学",8,14:43:52,00:19:00,"00:54:00 (-3)","03:20:03 (-6)","01:24:38 (-1)",,,00:27:31,00:10:20,,,"01:52:25 (-6)","00:15:55 (-2)"
21,"team888 中国科学技术大学",8,20:55:26,00:16:36,"03:20:46 (-8)","04:57:05 (-7)","02:47:38 (-2)",,,00:47:08,00:47:02,,,01:07:54,"00:31:17 (-2)"
22,"team050 东北大学",8,21:28:02,"00:21:47 (-1)","04:23:21 (-4)","04:00:43 (-6)",,,"03:45:43 (-1)",00:41:33,"00:17:22 (-2)",,,00:40:47,"00:56:46 (-5)"
23,"team761 义乌中学",8,22:11:00,00:05:48,"03:41:48 (-7)","04:36:08 (-5)",,,,00:37:36,"01:16:09 (-2)",,"01:40:33 (-3)","01:45:28 (-1)","00:27:30 (-6)"
24,"team619 绍兴一中",8,22:13:42,"00:14:58 (-1)","03:16:36 (-6)","04:35:31 (-7)",,04:27:49,,"00:41:21 (-2)","01:06:46 (-4)",,(-1),00:30:33,"00:20:08 (-1)"
