Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team904 北京大学",10,21:49:47,04:57:09,,00:57:01,03:27:43,"00:25:49 (-1)",01:40:33,00:42:29,,00:32:53,04:43:26,02:47:34,01:15:10
2,"team901 北京大学",10,26:05:41,"02:30:44 (-3)",,"01:12:00 (-1)",02:56:48,"00:58:49 (-2)",01:39:26,00:21:27,"04:45:59 (-5)",00:09:20,(-2),"04:51:15 (-4)",01:39:53
3,"team951 杭州第二中学",9,25:08:15,"03:12:04 (-8)",03:02:34,"01:19:06 (-2)","03:48:50 (-3)","00:29:52 (-1)","03:34:39 (-3)",00:57:19,(-1),"00:50:19 (-3)",(-2),(-7),01:13:32
4,"team104 南京外国语学校",8,16:25:26,(-5),,"00:19:29 (-2)","01:44:41 (-1)","00:34:27 (-2)","01:50:38 (-1)","01:12:20 (-5)",,00:21:56,"03:58:19 (-5)",,01:03:36
5,"team123 南京外国语学校",8,17:08:32,(-6),,01:53:00,"03:15:30 (-2)","01:27:51 (-1)","02:24:20 (-1)","01:45:27 (-2)","02:53:43 (-1)","00:17:37 (-1)",(-5),,00:31:04
6,"team956 杭州第二中学",8,18:30:47,"04:14:47 (-5)",,"01:53:03 (-1)",04:34:01,"00:18:01 (-1)","01:28:12 (-2)",01:36:48,,00:34:09,,,00:51:46
7,"team294 南方科技大学",8,19:25:30,"04:32:33 (-1)",,01:19:57,"04:46:52 (-2)",00:33:44,02:21:03,01:18:50,,00:53:59,,,"02:18:32 (-1)"
8,"team621 海亮高级中学",8,20:09:28,03:23:08,(-1),"04:03:18 (-2)","01:23:56 (-6)",00:09:52,"02:25:56 (-2)","03:08:12 (-1)",,00:08:41,,,01:46:25
9,"team102 南京外国语学校",8,21:11:29,(-4),,"01:51:39 (-2)","01:50:13 (-2)","00:36:45 (-2)",03:31:43,"02:14:01 (-1)","04:09:26 (-2)","00:30:35 (-2)",,,"02:07:07 (-2)"
10,"team101 南京外国语学校",8,21:14:42,,,"00:57:06 (-2)","04:46:30 (-17)","00:16:42 (-2)",01:08:39,"00:24:34 (-2)",,"00:32:11 (-1)",04:00:29,(-5),"00:48:31 (-1)"
11,"team1052 中山市中山纪念中学",8,29:42:49,"04:59:56 (-3)",,"01:36:34 (-3)","04:57:36 (-12)",00:41:01,"03:16:45 (-1)","02:11:36 (-2)",(-1),00:54:41,,,"03:24:40 (-2)"
12,"team1024 高老师训练营（中学）",8,38:30:15,"04:46:25 (-26)",,"02:05:32 (-5)","04:08:24 (-9)","00:29:59 (-1)",04:36:08,"01:05:44 (-5)",,"00:50:02 (-1)",,,"03:48:01 (-3)"
13,"team478 长沙市长郡中学",7,10:49:47,,,"00:43:52 (-1)",02:28:09,00:55:24,"01:52:41 (-2)",01:14:55,,01:16:11,,,"00:58:35 (-1)"
14,"team1039 南京市第一中学",7,11:52:40,(-1),,01:08:59,"03:44:31 (-3)",00:17:33,02:33:33,00:42:55,,00:28:42,,,01:56:27
15,"team622 海亮高级中学",7,13:08:44,(-6),,"02:16:19 (-1)",03:11:58,00:17:00,"02:35:35 (-2)",00:54:10,,"00:31:50 (-3)",,,01:21:52
16,"team050 东北大学",7,14:01:52,(-2),"03:44:27 (-2)",02:22:17,(-2),00:19:32,"02:14:57 (-2)","00:49:12 (-1)",,"00:34:49 (-1)",,,01:56:38
17,"team408 厦门双十中学",7,15:30:39,,,"01:05:37 (-2)","02:47:51 (-2)",00:16:25,"01:39:29 (-2)","01:12:02 (-3)",,"00:26:24 (-1)",,(-9),"03:42:51 (-3)"
18,"team619 绍兴一中",7,15:40:55,(-1),,"01:15:18 (-2)","03:52:28 (-5)","00:28:23 (-1)",02:52:27,00:50:23,,00:17:10,,,"02:24:46 (-3)"
19,"team1001 杭州电子科技大学",7,16:29:40,,,01:35:45,"04:07:15 (-1)",00:58:47,"02:56:52 (-1)","01:17:51 (-2)",,00:21:10,,,"03:12:00 (-2)"
20,"team873 复旦大学",7,17:51:22,,,"03:35:07 (-1)",04:48:36,00:35:10,"01:51:33 (-1)","02:03:10 (-1)",,"00:28:50 (-1)",,,"02:48:56 (-1)"
21,"team004 华东师范大学第二附属中学",7,18:10:54,,,"01:58:52 (-1)","04:15:03 (-4)",00:29:14,02:17:28,"00:58:41 (-1)",,00:37:33,,,"04:34:03 (-3)"
22,"team540 北京交通大学",7,18:38:22,,(-2),"03:12:57 (-5)",03:46:57,00:36:05,02:11:46,00:53:24,,"00:29:58 (-1)",,,"03:47:15 (-5)"
23,"team304 北京邮电大学",7,19:32:31,,,"03:15:07 (-1)",04:17:51,00:38:39,"02:01:14 (-1)","01:05:21 (-1)",,"01:01:33 (-2)",,,"04:32:46 (-3)"
24,"team260 北京理工大学",7,20:50:36,(-1),,"03:49:10 (-6)","04:58:42 (-2)",00:21:53,"03:46:12 (-2)","01:27:58 (-1)",,00:56:17,,,01:50:24
25,"team114 南京外国语学校",7,21:29:15,,,"02:13:44 (-1)","04:49:40 (-16)",00:31:59,03:38:05,00:56:16,,01:03:44,,,"01:35:47 (-3)"
26,"team953 杭州第二中学",7,22:20:50,"04:38:21 (-2)",,"01:47:49 (-13)",(-64),00:19:55,"02:57:00 (-4)","01:10:47 (-1)",,"00:26:03 (-2)",,,03:40:55
27,"team1046 湖南师范大学附属中学",7,23:48:11,,,"03:55:34 (-2)","04:30:20 (-1)","01:28:39 (-4)","03:14:21 (-2)","01:11:58 (-2)",,01:01:09,,,"04:26:10 (-1)"
28,"team620 绍兴一中",7,24:28:36,,,"02:54:46 (-7)","04:21:47 (-5)",00:58:05,"03:39:54 (-2)","01:55:50 (-1)",(-2),"01:28:26 (-2)",,,03:29:48
29,"team293 南方科技大学",7,25:11:01,"04:16:51 (-5)",,"02:02:49 (-3)","04:49:03 (-29)",00:11:51,00:39:21,00:35:54,,00:15:12,,,(-10)
30,"team684 南京大学",7,26:14:28,"04:22:17 (-3)",,"02:48:14 (-9)",,"00:31:24 (-1)","02:13:31 (-2)","01:03:20 (-1)",,"00:34:46 (-3)",(-2),,"04:40:56 (-11)"
31,"team598 温州中学",7,28:05:18,(-7),,"04:08:16 (-15)","04:26:11 (-1)","01:15:15 (-1)",02:26:14,"01:11:33 (-3)",,"01:23:28 (-3)",,,"03:54:21 (-5)"
32,"team297 南方科技大学",6,10:07:03,(-5),,01:05:21,,00:34:06,"02:15:02 (-1)",00:53:50,,"02:16:08 (-2)",,,02:02:36
33,"team811 重庆市育才中学",6,13:07:14,,,"02:14:38 (-2)",,00:39:46,03:03:49,00:56:34,,"00:18:48 (-1)",,,"03:13:39 (-5)"
34,"team1029 金陵中学河西分校",6,13:09:16,"01:40:32 (-2)",,01:58:50,,"00:18:38 (-1)",,"01:35:01 (-3)",,"00:46:00 (-1)",,,"03:50:15 (-2)"
35,"team536 电子科技大学",6,13:43:31,,,"01:06:43 (-2)",,00:30:06,"03:06:02 (-1)","00:59:26 (-2)",,00:50:56,,,"04:10:18 (-4)"
36,"team1006 杭州电子科技大学",6,14:09:45,,,02:01:31,,00:29:48,03:36:32,"00:33:51 (-2)",,"01:07:00 (-1)",,,"03:41:03 (-5)"
