Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team902 北京大学",12,16:22:04,02:02:17,00:33:04,02:15:22,00:59:51,02:44:58,01:44:26,00:34:15,01:09:43,"00:38:03 (-1)",00:07:41,"00:14:07 (-1)",02:38:17
2,"team611 衢州第二中学",12,18:28:37,01:58:13,01:08:25,03:12:39,00:49:07,"02:26:38 (-1)",00:27:04,00:46:38,"01:04:25 (-1)",00:48:04,00:12:50,00:06:31,"04:28:03 (-1)"
3,"team956 杭州第二中学",12,20:13:26,"02:14:58 (-2)",01:27:41,"02:58:41 (-1)","00:58:48 (-1)",02:42:59,01:09:14,"01:24:37 (-2)",00:27:40,00:23:18,00:10:10,00:08:35,"03:46:45 (-1)"
4,"team901 北京大学",12,24:01:08,02:58:39,"00:53:58 (-2)",01:28:44,"01:36:44 (-1)","04:05:23 (-1)","02:03:39 (-1)",01:01:27,"01:50:50 (-1)",01:33:11,00:08:06,00:04:37,"03:55:50 (-1)"
5,"team1053 中山市中山纪念中学",12,30:02:37,"01:50:03 (-1)","04:54:19 (-4)",03:37:52,"01:02:03 (-1)","03:12:44 (-1)",00:47:34,"00:51:27 (-3)","02:11:29 (-3)",00:26:35,00:14:52,"00:41:23 (-2)","04:52:16 (-1)"
6,"team104 南京外国语学校",11,21:23:59,04:26:50,"00:26:07 (-1)",03:24:30,"01:01:17 (-1)",03:59:48,"01:22:07 (-2)","01:42:44 (-3)",00:29:58,"00:45:23 (-1)",00:34:35,00:30:40,
7,"team1049 长沙市长郡中学",11,27:11:13,"03:54:29 (-3)","01:52:05 (-1)",04:57:36,01:22:23,03:57:26,"02:41:23 (-4)","02:22:25 (-1)",01:04:25,00:54:38,00:18:25,"00:25:58 (-1)",
8,"team102 南京外国语学校",10,12:16:01,03:05:01,00:37:40,,00:52:09,02:55:09,01:56:45,00:44:42,01:09:36,00:26:00,00:14:39,00:14:20,
9,"team621 海亮高级中学",10,15:53:29,"03:21:14 (-1)","00:39:39 (-2)",,"00:58:03 (-2)","03:40:17 (-3)",01:34:37,00:33:48,01:53:59,00:23:22,00:03:14,00:05:16,
10,"team1029 金陵中学河西分校",10,16:27:47,"03:50:10 (-1)","00:36:37 (-1)",,"01:15:14 (-1)","01:06:25 (-1)",04:07:49,01:21:33,01:58:13,00:32:18,00:07:53,00:11:35,
11,"team571 深圳中学",10,18:08:18,"03:20:58 (-3)","01:35:45 (-3)",(-1),"00:38:07 (-1)",03:31:57,"03:15:40 (-4)",00:56:12,00:26:37,00:25:31,00:05:36,00:11:55,(-1)
12,"team128 南京外国语学校",10,21:29:09,"04:05:36 (-2)","02:36:52 (-2)",,01:05:41,04:36:17,"04:28:54 (-1)","00:42:25 (-1)",01:20:14,00:12:44,00:06:35,00:13:51,
13,"team684 南京大学",10,24:49:20,(-1),"02:09:49 (-4)",,01:07:06,"01:30:40 (-4)","03:26:24 (-5)","03:24:38 (-7)",00:55:33,"00:27:20 (-1)","00:03:49 (-1)",00:08:01,04:16:00
14,"team622 海亮高级中学",10,24:55:04,"02:02:08 (-5)","02:00:59 (-1)",,"01:20:21 (-2)",04:27:13,"04:06:20 (-3)","00:57:29 (-2)","00:54:53 (-1)","02:20:52 (-5)",00:09:36,00:15:13,
15,"team103 南京外国语学校",10,97:20:28,"03:51:29 (-196)","01:44:32 (-2)",(-1),01:38:49,03:44:17,"03:10:07 (-3)","01:03:18 (-1)","02:24:12 (-32)",00:15:18,00:21:50,"00:06:36 (-3)",
16,"team1001 杭州电子科技大学",9,12:16:04,(-1),"01:22:56 (-1)",,00:32:08,04:04:56,02:09:14,00:48:52,"01:50:56 (-1)",00:26:53,00:07:17,00:12:52,
17,"team050 东北大学",9,15:13:53,(-5),"01:30:28 (-1)",,00:41:44,"03:37:34 (-1)",02:44:41,"00:58:42 (-1)",02:06:38,"01:00:32 (-1)",00:08:52,"00:24:42 (-2)",
18,"team1046 湖南师范大学附属中学",9,15:28:01,"02:46:59 (-1)",01:57:38,04:55:10,00:25:36,,,00:40:48,02:02:09,"00:52:52 (-2)","00:15:40 (-1)",00:11:09,
19,"team1024 高老师训练营（中学）",9,16:59:00,,"00:46:08 (-1)",,"01:21:31 (-1)","04:18:02 (-3)","03:24:39 (-1)",00:22:48,"01:43:16 (-2)",01:09:16,"00:11:44 (-1)","00:21:36 (-1)",
20,"team871 复旦大学",9,19:52:50,,"02:33:03 (-2)",,01:08:54,04:51:40,04:56:28,01:49:24,02:36:46,00:45:31,00:06:16,00:24:48,
21,"team478 长沙市长郡中学",9,19:57:56,(-1),"02:08:02 (-4)",,00:59:26,"04:41:33 (-7)",02:46:03,"01:40:00 (-2)",02:02:55,00:44:31,00:09:01,"00:06:25 (-1)",
22,"team061 浙江工业大学",9,20:54:41,,03:14:34,,00:49:42,"04:00:38 (-1)",04:41:28,"02:15:52 (-1)","02:39:05 (-1)","00:41:39 (-2)",00:12:58,"00:18:45 (-1)",
23,"team294 南方科技大学",9,21:08:30,"04:22:34 (-2)","03:04:50 (-1)",,"00:59:27 (-1)",(-1),"03:37:45 (-2)",01:26:31,"02:23:43 (-3)",00:48:17,00:19:36,"00:25:47 (-2)",
24,"team295 南方科技大学",9,21:33:06,,"02:20:52 (-2)",,01:49:32,04:09:27,"04:59:46 (-5)","02:07:34 (-1)","01:31:14 (-1)",00:50:07,00:05:34,"00:19:00 (-1)",
