Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team101 南京外国语学校",12,15:35:12,"03:17:09 (-1)","02:15:57 (-1)",01:24:32,00:07:44,00:10:17,00:35:12,00:14:26,00:28:43,02:03:42,"01:35:00 (-4)",00:49:06,00:33:24
2,"team901 北京大学",12,15:44:51,02:59:08,01:56:33,02:22:59,00:10:36,00:50:27,00:58:39,00:19:12,00:47:17,01:44:16,"00:34:44 (-1)","01:50:49 (-1)",00:30:11
3,"team956 杭州第二中学",12,21:04:57,"04:13:48 (-8)",02:31:28,02:27:56,"00:20:45 (-1)",00:47:26,00:46:42,00:37:06,00:59:48,00:47:44,"02:09:50 (-1)",01:31:15,00:31:09
4,"team951 杭州第二中学",12,22:28:36,"04:41:45 (-10)","02:27:18 (-2)",01:52:57,00:08:20,00:35:10,"00:15:44 (-1)",00:04:40,"00:43:48 (-1)",01:30:25,00:29:59,"03:12:17 (-3)","00:26:13 (-1)"
5,"team611 衢州第二中学",11,14:21:32,02:44:24,(-1),02:22:21,00:17:00,00:22:51,00:46:39,"00:06:49 (-1)",00:33:46,01:48:52,"00:53:02 (-4)","02:10:51 (-1)",00:14:57
6,"team104 南京外国语学校",11,15:28:57,,"02:20:55 (-2)",00:56:35,00:08:19,00:25:13,"00:16:31 (-1)",00:07:06,00:32:34,03:39:03,"03:40:25 (-1)",01:35:43,00:26:33
7,"team102 南京外国语学校",11,19:55:42,,"04:53:30 (-1)",03:23:20,00:16:27,01:07:55,00:59:58,00:13:10,01:02:51,"02:37:17 (-2)","01:52:59 (-1)","00:44:05 (-3)",00:24:10
8,"team103 南京外国语学校",11,20:09:25,(-9),02:55:17,03:33:37,00:21:36,"01:09:26 (-1)",00:47:30,00:53:54,01:06:27,01:59:39,"02:33:28 (-1)",03:53:03,00:15:28
9,"team1049 长沙市长郡中学",11,20:19:25,,"04:51:12 (-1)",02:39:48,00:16:49,"00:34:31 (-1)","00:46:34 (-1)","00:34:03 (-1)",01:09:03,02:56:08,"01:50:11 (-2)","01:37:56 (-2)",00:23:10
10,"team621 海亮高级中学",11,20:44:37,,01:35:46,02:30:07,00:08:08,00:39:20,00:26:57,00:19:05,"01:09:17 (-1)",02:18:27,"04:59:42 (-5)","03:40:30 (-2)",00:17:18
11,"team1053 中山市中山纪念中学",11,24:18:25,(-11),"02:51:06 (-1)",02:50:48,00:18:23,00:39:13,"01:13:34 (-1)",00:28:31,"01:47:41 (-1)","02:11:43 (-1)","03:38:22 (-6)","02:33:39 (-1)","01:25:25 (-2)"
12,"team620 绍兴一中",11,27:34:39,,02:39:04,"04:33:45 (-1)",00:12:57,00:31:52,00:21:55,00:23:37,"03:02:04 (-2)",04:01:17,"03:56:18 (-6)","03:43:52 (-1)",00:47:58
13,"team622 海亮高级中学",10,17:55:19,,,02:09:45,00:22:21,00:38:33,"00:19:22 (-2)",00:25:54,"00:51:51 (-1)",03:45:24,"02:12:51 (-5)","02:29:58 (-4)",00:39:20
14,"team408 厦门双十中学",10,18:01:33,(-1),(-1),04:15:49,00:09:43,00:30:57,"01:18:21 (-2)",00:13:25,00:27:14,02:43:51,03:06:23,"03:42:50 (-2)",00:13:00
15,"team193 东莞中学松山湖学校",10,18:33:28,,03:58:28,(-1),00:12:58,"01:07:31 (-1)","00:40:52 (-1)",00:22:06,"01:02:08 (-2)",02:57:30,"01:51:15 (-4)","01:59:45 (-3)","00:20:55 (-1)"
16,"team619 绍兴一中",10,19:27:36,,,"04:02:35 (-1)","00:20:11 (-1)","00:43:41 (-2)","00:38:21 (-3)",00:14:21,00:52:06,02:17:21,"03:34:45 (-2)","03:00:54 (-1)",00:23:21
17,"team598 温州中学",10,19:33:52,(-1),03:29:58,"04:53:14 (-1)","00:19:42 (-2)",00:21:46,00:22:18,"01:19:58 (-1)",01:08:20,(-2),01:35:13,"03:37:04 (-2)",00:26:19
18,"team882 复旦大学",10,19:41:39,"04:51:25 (-6)",,03:02:19,00:12:59,00:37:28,00:45:31,00:22:24,01:20:26,03:19:11,"01:43:53 (-3)",(-2),00:26:03
19,"team004 华东师范大学第二附属中学",10,20:50:41,,,"03:45:57 (-1)","00:08:18 (-1)",00:19:27,"00:34:58 (-2)",00:11:42,01:22:03,"04:10:31 (-2)","02:15:35 (-1)","04:59:40 (-1)",00:22:30
20,"team293 南方科技大学",10,22:24:54,,03:43:10,04:41:07,"00:10:50 (-1)","00:25:45 (-1)","01:49:07 (-1)","01:04:23 (-2)",01:51:18,,"01:38:56 (-2)","03:26:10 (-1)",00:54:08
21,"team571 深圳中学",10,22:48:02,"03:35:31 (-11)",,,"00:08:23 (-1)","00:26:49 (-1)","00:59:21 (-5)",00:13:00,"01:05:19 (-2)",04:10:51,"01:40:28 (-1)","02:36:33 (-1)",00:31:47
