Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
22,"team382 华南师范大学附属中学",10,23:23:52,"02:24:17 (-3)",01:51:32,04:56:09,00:12:27,02:08:28,02:04:37,"01:26:03 (-4)","00:56:15 (-1)",,(-9),"03:39:07 (-2)",00:24:57
23,"team366 长沙市雅礼中学",10,26:11:18,,"04:58:30 (-2)",04:10:43,00:12:20,01:18:17,00:46:48,00:21:23,01:49:19,,"02:36:53 (-3)","04:49:46 (-7)",01:07:19
24,"team952 杭州第二中学",9,09:17:48,,,,"00:13:27 (-1)",00:29:46,00:35:45,00:11:36,01:06:56,00:40:39,"02:14:17 (-2)","02:01:14 (-1)",00:24:08
25,"team1029 金陵中学河西分校",9,11:16:30,,00:43:50,03:16:06,00:07:14,"01:05:17 (-1)","00:38:22 (-1)",00:15:47,"01:23:58 (-1)","02:00:01 (-1)",,,00:25:55
26,"team1031 金陵中学河西分校",9,13:20:18,,03:29:31,01:45:58,00:16:49,00:44:36,00:37:30,00:14:25,01:03:50,,"03:30:29 (-3)",,00:37:10
27,"team1001 杭州电子科技大学",9,14:04:26,,,01:54:07,00:12:35,"00:45:00 (-1)",01:07:15,00:16:20,01:24:28,,02:55:25,04:42:23,00:26:53
28,"team105 南京外国语学校",9,16:30:41,,(-3),04:03:05,"00:12:29 (-1)","00:14:31 (-1)","00:41:18 (-1)",00:06:02,"01:55:06 (-1)","03:21:44 (-1)",(-13),"03:25:58 (-1)",00:30:28
29,"team1039 南京市第一中学",9,16:48:49,,,04:56:06,00:04:07,00:32:14,00:44:39,"00:10:29 (-1)","02:05:26 (-1)",,03:03:06,04:08:14,00:24:28
30,"team872 复旦大学",9,18:44:21,,,04:20:21,00:12:37,00:53:30,01:04:24,"00:27:59 (-1)","02:03:26 (-1)",,"03:22:58 (-4)",03:51:39,00:27:27
31,"team114 南京外国语学校",9,18:48:40,,,04:24:06,00:15:29,00:54:45,"01:37:17 (-5)",00:16:06,02:09:45,,03:22:28,"03:03:30 (-1)",00:45:14
32,"team304 北京邮电大学",9,18:53:17,,,"02:45:59 (-1)","00:16:19 (-1)",00:48:37,"01:00:15 (-1)",00:20:16,01:33:17,,"04:22:15 (-3)",04:26:46,01:19:33
33,"team1024 高老师训练营（中学）",9,19:15:13,,03:39:19,,00:12:28,00:45:41,"01:25:38 (-4)",00:17:20,01:50:16,,"02:50:34 (-8)","02:38:14 (-2)","00:35:43 (-1)"
34,"team1002 杭州电子科技大学",9,20:11:18,,,04:49:23,00:26:55,00:51:58,"01:54:21 (-2)",00:58:42,"01:08:11 (-1)",04:53:39,"02:44:59 (-3)",,00:23:10
35,"team551 清华大学",8,07:56:27,,01:30:15,,00:12:40,00:43:09,00:33:11,00:12:54,01:02:15,,"02:47:07 (-1)",,00:34:56
36,"team128 南京外国语学校",8,08:08:24,(-1),(-2),,"00:11:39 (-1)","00:58:24 (-1)",00:39:54,00:30:25,00:57:25,,"01:07:06 (-1)","01:22:15 (-1)","00:41:16 (-1)"
37,"team478 长沙市长郡中学",8,08:21:45,,,,"00:24:59 (-3)",00:41:02,00:35:28,00:21:16,01:26:06,02:29:06,01:16:40,,00:07:08
38,"team684 南京大学",8,09:13:11,,,03:20:51,"00:22:35 (-2)",00:19:29,"00:36:38 (-2)",00:22:19,00:42:23,,(-11),"01:43:52 (-1)",00:05:04
39,"team061 浙江工业大学",8,12:04:49,,,04:13:13,00:14:45,00:51:18,"01:15:49 (-1)",00:24:10,01:14:11,,(-5),"02:51:41 (-1)",00:19:42
40,"team617 绍兴一中",8,13:01:30,,,,00:15:32,00:43:48,"01:00:20 (-1)",00:31:30,01:45:23,03:57:39,(-2),"02:49:27 (-2)",00:57:51
41,"team580 福州大学",8,13:14:23,,,04:49:44,00:06:12,00:55:04,"01:12:14 (-1)",00:22:00,01:10:23,,"02:45:56 (-3)",,00:32:50
42,"team758 武汉科技大学",8,13:53:48,(-1),03:33:07,,00:11:53,00:19:43,01:15:59,00:39:19,01:32:43,,"04:22:52 (-3)",,00:58:12
43,"team369 长沙市雅礼中学",8,15:20:08,,,,00:11:44,01:01:25,"01:56:49 (-1)",00:43:39,"02:48:56 (-1)",,"02:09:18 (-2)","04:14:37 (-1)",00:33:40
44,"team011 华东师范大学",8,15:30:09,,04:35:30,,"00:22:18 (-1)",01:23:29,01:07:37,"00:18:05 (-2)","01:37:51 (-1)",,"03:38:08 (-1)",,00:47:11
45,"team297 南方科技大学",8,15:31:34,,,03:17:50,"00:20:45 (-2)",01:38:21,"01:38:33 (-3)","00:22:57 (-1)",01:51:27,,03:29:01,(-4),"00:32:40 (-1)"
46,"team121 南京外国语学校",8,15:56:47,,,,00:12:21,01:46:48,01:23:11,"00:32:37 (-1)",03:50:32,,"01:46:53 (-3)","03:08:32 (-3)",00:55:53
47,"team263 北京理工大学",8,17:20:22,,,04:39:46,"00:37:18 (-2)","04:09:01 (-1)",01:06:29,00:21:47,"02:25:38 (-1)",,02:02:24,,00:37:59
48,"team295 南方科技大学",8,17:36:57,,(-1),03:27:38,"00:23:20 (-2)","00:59:34 (-2)","01:07:07 (-2)","00:22:46 (-1)","01:51:58 (-1)",,"04:39:03 (-5)",,00:25:31
49,"team954 杭州第二中学",8,17:59:02,,04:08:38,,"00:12:15 (-3)",00:43:30,"02:20:26 (-4)","00:19:50 (-1)","01:14:15 (-1)",04:55:15,,,"00:44:53 (-1)"
50,"team739 上海市曹杨第二中学",8,18:29:40,,,"04:21:55 (-1)",00:14:03,01:38:31,"01:13:29 (-1)",00:10:13,"03:30:14 (-3)",,"02:31:00 (-1)",,"01:50:15 (-3)"
51,"team953 杭州第二中学",8,19:24:04,,,,"00:11:47 (-3)","00:35:28 (-1)","00:54:27 (-2)","00:25:20 (-2)","03:18:25 (-4)",02:31:36,"04:36:52 (-4)",(-1),"00:50:09 (-2)"
52,"team112 南京外国语学校",8,64:59:04,(-2),"04:58:11 (-151)","02:17:24 (-2)","00:21:09 (-5)",00:49:59,"00:57:13 (-2)",00:14:48,01:11:30,,(-1),,"00:28:50 (-1)"
53,"team294 南方科技大学",7,07:45:42,,(-2),,00:21:25,00:43:37,01:34:48,00:16:15,01:12:12,,"01:26:04 (-3)",,"00:51:21 (-1)"
54,"team481 华南理工大学",7,08:05:23,,(-10),,"00:26:33 (-2)",01:01:33,00:55:01,00:32:21,01:15:36,,"02:32:15 (-1)",,00:22:04
55,"team553 清华大学",7,08:24:17,,,,"00:13:24 (-1)",00:47:19,00:39:30,00:12:51,"01:27:34 (-1)",,03:51:44,,00:31:55
56,"team367 长沙市雅礼中学",7,08:54:34,,,03:00:15,"00:15:10 (-1)",01:00:50,"00:37:51 (-1)",00:41:21,(-4),,"00:22:19 (-3)",(-1),01:16:48
57,"team873 复旦大学",7,09:18:34,,,(-5),00:20:53,"00:56:10 (-1)",01:12:26,00:16:05,01:27:54,,"03:24:18 (-2)",(-1),00:40:48
58,"team677 南京大学",7,09:31:54,,"03:02:06 (-1)",,00:12:27,00:58:51,"01:13:04 (-1)","00:27:00 (-1)","01:26:08 (-1)",,,,00:52:18
59,"team501 南京航空航天大学",7,09:59:50,,,,00:14:28,"00:39:54 (-1)","01:27:19 (-1)",00:29:21,01:00:06,,"02:49:12 (-5)",,"00:39:30 (-1)"
60,"team871 复旦大学",7,10:05:55,,,,00:09:43,01:00:19,01:08:43,00:44:36,01:30:51,,"02:47:23 (-1)",,"01:24:20 (-3)"
61,"team1046 湖南师范大学附属中学",7,10:09:33,,(-1),,00:19:38,"00:58:44 (-1)","00:46:07 (-1)",00:27:29,"03:35:51 (-1)",,"01:47:17 (-1)",,00:54:27
62,"team1028 广东工业大学",7,10:15:49,,(-2),,00:07:13,"00:57:31 (-1)","01:17:19 (-1)",00:17:07,02:15:42,,,"03:55:38 (-1)",00:25:19
63,"team260 北京理工大学",7,10:54:47,,,,00:24:00,01:22:05,"01:38:57 (-1)",00:47:38,02:02:18,,,03:10:48,01:09:01
64,"team581 福州大学",7,11:02:54,,,,00:11:27,00:45:47,01:57:40,00:28:49,01:38:11,,"03:56:58 (-3)",,01:04:02
65,"team865 香港中文大学（深圳）",7,11:16:50,,,,"00:32:01 (-4)",00:42:03,"01:28:27 (-1)",00:19:37,01:35:44,,"04:06:23 (-2)",(-8),00:12:35
66,"team879 复旦大学",7,11:16:56,(-3),,(-2),"00:17:57 (-1)","01:27:23 (-3)",02:47:59,00:37:51,"00:31:28 (-3)",,02:28:54,,00:45:24
67,"team761 义乌中学",7,11:50:59,,,,00:11:38,"01:48:34 (-2)",01:41:42,00:32:07,02:09:30,,03:31:39,,"00:55:49 (-1)"
68,"team388 华南师范大学附属中学",7,12:03:51,,,,"00:25:53 (-1)",01:17:27,"01:48:04 (-1)","01:22:56 (-3)",00:18:31,,"03:27:47 (-3)",,00:43:13
69,"team750 南京理工大学",7,12:28:29,,,,00:23:48,"01:18:03 (-1)",01:51:52,00:19:03,01:26:11,,"04:33:12 (-5)",,00:36:20
70,"team264 北京理工大学",7,12:32:57,,(-2),,00:14:44,"01:09:52 (-2)","01:29:28 (-1)",00:17:45,01:39:32,,"04:47:36 (-4)",,00:34:00
71,"team306 北京邮电大学",7,12:57:31,,,,"00:23:06 (-1)",02:30:25,01:24:39,00:26:42,"02:09:52 (-1)",,"03:44:22 (-2)",,00:58:25
72,"team715 吉林大学",7,13:11:41,,,,"00:48:58 (-2)",00:55:30,"02:35:20 (-3)","00:21:16 (-2)",01:31:14,,"03:41:25 (-1)",,00:37:58
73,"team303 北京邮电大学",7,13:23:10,(-1),04:08:54,,00:31:31,00:56:06,"02:07:43 (-2)",00:24:02,"03:20:24 (-2)",,,,00:34:30
74,"team993 东南大学",7,13:45:17,,,,00:17:20,"00:37:53 (-2)","01:15:29 (-1)","01:15:23 (-3)","02:30:55 (-1)",,"04:38:28 (-2)",,00:09:49
75,"team881 复旦大学",7,13:56:49,(-2),(-1),,"00:30:07 (-1)",01:13:40,02:04:01,00:41:02,01:53:12,,"04:36:22 (-4)",,01:18:25
76,"team002 华东师范大学第二附属中学",7,14:03:59,,(-1),(-1),"00:26:11 (-4)","00:39:39 (-1)","01:01:05 (-12)",00:28:52,01:13:04,,"02:56:17 (-3)",(-1),"00:18:51 (-1)"
77,"team1004 杭州电子科技大学",7,14:19:31,,,,00:10:51,01:37:15,"02:39:32 (-3)","00:58:04 (-3)",03:00:22,,03:23:42,,00:29:45
78,"team790 香港科技大学（广州）",7,14:37:39,,,,"00:16:35 (-1)",01:53:01,"02:33:06 (-2)",01:15:01,01:32:45,,04:48:55,,"00:58:16 (-1)"
79,"team936 东北大学秦皇岛分校",7,14:47:35,(-1),"03:11:51 (-4)",,00:14:36,01:14:07,"02:31:25 (-2)",00:46:29,03:08:24,,,,"00:40:43 (-3)"
80,"team166 北京林业大学",7,14:58:32,,,,00:28:37,01:43:27,02:02:36,00:19:50,"03:48:45 (-3)",(-2),,"04:22:36 (-1)",00:52:41
81,"team1011 杭州电子科技大学",7,15:07:41,,"04:46:18 (-2)",,00:17:02,"01:21:52 (-1)","02:23:00 (-2)","00:24:27 (-1)","02:32:05 (-2)",,(-2),,00:42:57
82,"team313 北京邮电大学",7,15:57:27,,04:51:01,,00:19:35,01:55:41,02:57:53,00:36:52,"03:20:37 (-2)",,,,01:15:48
83,"team365 长沙市雅礼中学",7,16:13:59,,,,"00:16:35 (-2)","01:54:28 (-2)","00:50:12 (-2)",01:31:53,"02:41:30 (-1)",,"02:31:00 (-5)",(-1),"01:28:21 (-3)"
84,"team210 浙江理工大学",7,16:24:17,,"02:22:46 (-3)",,"00:17:21 (-1)",02:32:45,"02:03:10 (-1)",00:27:53,04:03:40,,(-1),,"01:16:42 (-5)"
85,"team1005 杭州电子科技大学",7,16:31:30,,04:00:16,,00:08:00,01:17:40,"02:30:10 (-2)",00:26:44,"04:35:48 (-2)",,(-18),,"01:32:52 (-2)"
86,"team413 武汉大学",7,17:41:20,(-1),,,00:48:45,"01:11:01 (-1)","01:51:42 (-1)","01:33:26 (-3)",03:15:05,,,"04:13:02 (-3)",02:08:19
87,"team544 哈尔滨工业大学（威海）",7,17:49:24,,,(-1),00:17:37,"02:44:26 (-1)","04:33:20 (-6)","00:45:30 (-1)",01:31:02,,"03:15:43 (-4)",,00:41:46
88,"team1050 西北工业大学附属中学",7,18:01:35,,,,00:09:12,01:18:04,"01:24:50 (-2)","00:44:24 (-2)","03:51:10 (-1)",,"04:40:02 (-6)",,"01:53:53 (-1)"
89,"team618 绍兴一中",7,18:06:38,(-1),,,00:17:44,"03:14:09 (-1)","01:12:47 (-1)",00:31:42,"04:48:42 (-2)",,"02:59:08 (-5)",,"01:22:26 (-2)"
90,"team106 南京外国语学校",7,133:19:13,,"04:45:37 (-351)",,00:17:22,01:15:57,"02:50:47 (-4)",00:21:16,"03:02:07 (-3)",,,,01:26:07
91,"team124 南京外国语学校",6,04:11:25,,,,00:11:46,00:56:49,"00:40:39 (-2)",00:15:30,00:57:16,,(-4),,00:29:25
92,"team385 华南师范大学附属中学",6,05:07:46,(-1),,,"00:14:33 (-1)",01:01:02,00:35:32,00:12:01,"01:48:45 (-1)",,(-6),,00:35:53
93,"team875 复旦大学",6,05:35:16,,,,00:09:17,01:03:03,01:17:56,00:22:19,"01:46:48 (-1)",(-2),,,00:35:53
94,"team417 湘潭大学",6,05:52:59,,,,00:37:42,00:30:06,01:27:21,00:34:20,01:47:45,,(-7),,00:55:45
95,"team108 南京外国语学校",6,05:58:52,,(-2),,00:22:09,00:50:48,02:03:40,00:20:09,01:10:10,,(-1),,01:11:56
96,"team052 东北大学",6,06:06:57,,,,00:17:08,00:51:34,"01:26:19 (-1)",00:28:29,02:02:12,,(-5),,00:41:15
97,"team1007 杭州电子科技大学",6,06:20:54,,,(-2),00:31:19,02:00:32,01:06:05,00:16:30,02:08:55,,,,00:17:33
98,"team685 南京大学",6,06:21:34,(-1),,,00:11:55,00:30:02,"01:35:40 (-1)",00:30:25,01:42:10,,(-1),,"01:11:22 (-1)"
99,"team874 复旦大学",6,06:23:19,,,,00:15:18,01:22:12,01:31:46,00:29:22,01:59:22,,(-6),,00:45:19
100,"team221 大连海事大学",6,06:28:02,,,,"00:15:31 (-1)","01:41:58 (-1)",01:11:55,00:24:18,01:43:57,,,,00:30:23
101,"team878 复旦大学",6,06:30:10,,,,00:13:56,00:24:32,"01:09:32 (-1)","01:11:55 (-3)",01:35:08,,(-5),,00:35:07
102,"team1058 中山市中山纪念中学",6,06:34:39,,,,00:12:34,00:55:11,01:09:30,00:22:54,"02:59:40 (-1)",,,,00:34:50
103,"team842 南京大学",6,07:20:13,,,,00:09:07,00:44:12,01:02:45,"00:36:00 (-2)","03:23:04 (-1)",,(-7),,00:25:05
104,"team446 西安电子科技大学",6,07:28:21,,,,00:19:03,"01:14:24 (-1)",00:58:55,"00:36:59 (-1)",01:50:55,,(-12),,"01:28:05 (-1)"
105,"team110 南京外国语学校",6,07:43:23,,,,00:11:06,01:34:35,"01:48:52 (-1)",00:14:35,02:49:12,,,,00:45:03
106,"team970 天津大学",6,07:53:00,,,,"00:17:15 (-2)",00:42:54,01:21:25,"00:47:03 (-2)",01:42:49,,(-4),,"01:21:34 (-1)"
107,"team583 福州大学",6,07:58:49,,,,00:19:59,01:53:26,"01:12:01 (-1)",00:20:49,"02:57:03 (-1)",,,,00:35:31
108,"team877 复旦大学",6,08:03:28,,,,00:15:00,"01:36:59 (-1)",01:11:58,00:45:29,03:03:58,,(-1),,00:50:04
109,"team1003 杭州电子科技大学",6,08:06:23,,,,00:09:45,01:03:07,"02:09:33 (-5)","00:40:02 (-1)",01:17:49,,(-3),(-5),"00:26:07 (-1)"
110,"team307 北京邮电大学",6,08:14:34,,,(-1),"00:18:28 (-1)",01:30:19,"02:05:41 (-1)",00:32:59,02:08:27,,,,00:58:40
111,"team1030 金陵中学河西分校",6,08:24:03,,,,00:21:20,"01:18:47 (-4)",01:43:41,00:36:02,02:07:43,,,,00:56:30
112,"team109 南京外国语学校",6,08:30:43,,,,00:18:38,00:33:11,"02:21:15 (-1)",00:24:26,"03:20:13 (-3)",,,,00:13:00
113,"team1006 杭州电子科技大学",6,08:33:48,,,,"00:14:25 (-1)",00:33:41,"01:13:09 (-1)",00:37:38,"04:12:17 (-2)",,(-3),,00:22:38
114,"team775 西安交通大学",6,08:36:11,,(-1),,00:31:42,02:33:24,01:23:46,"00:43:36 (-1)",02:10:27,,(-8),,00:53:16
115,"team065 浙江工业大学",6,08:56:34,,,,00:18:19,"01:24:04 (-1)",01:39:03,00:27:08,03:22:04,,,,"01:05:56 (-1)"
116,"team325 中国地质大学（北京）",6,08:58:01,,(-4),,"00:15:36 (-2)",01:21:11,"02:19:01 (-1)",00:37:56,02:25:34,(-1),,,00:58:43
117,"team671 南京大学",6,09:00:18,,,,"00:13:34 (-1)",01:21:34,"02:21:52 (-1)",00:32:04,02:50:51,,(-2),,01:00:23
118,"team577 南京理工大学",6,09:04:05,,,,00:13:30,02:18:07,02:07:57,00:22:29,"02:57:24 (-1)",,,,00:44:38
119,"team298 南方科技大学",6,09:04:48,,,,00:15:29,"01:19:53 (-3)","01:08:25 (-2)","00:50:13 (-1)","02:44:38 (-1)",,,,00:26:10
120,"team311 北京邮电大学",6,09:06:32,,,,"00:21:43 (-1)",01:33:26,01:42:19,00:45:18,"02:37:54 (-2)",,,,01:05:52
121,"team1008 杭州电子科技大学",6,09:07:39,(-2),(-1),,00:18:00,"01:50:59 (-1)",02:02:33,"00:47:22 (-1)","02:48:31 (-1)",,(-1),,00:20:14
122,"team317 北京邮电大学",6,09:13:51,,,,"00:30:06 (-2)",01:20:38,"01:40:27 (-1)",00:52:29,"02:18:38 (-2)",,(-1),,"00:31:33 (-1)"
123,"team1010 杭州电子科技大学",6,09:14:35,,,,00:15:33,01:39:05,02:23:42,00:27:17,"02:46:15 (-1)",,,,01:22:43
124,"team335 天津理工大学",6,09:16:01,(-1),,,00:25:20,"01:12:32 (-1)",01:51:42,00:44:26,"02:49:31 (-1)",,(-6),,01:32:30
125,"team1041 南京市第一中学",6,09:27:50,,,,"00:14:21 (-1)",00:32:43,"03:27:02 (-8)",00:26:48,01:21:58,,(-3),,00:24:58
126,"team266 北京理工大学",6,09:28:15,,(-4),,"00:22:55 (-2)",01:45:37,"02:24:21 (-3)","00:12:51 (-1)","01:26:15 (-1)",,,,"00:36:16 (-1)"
127,"team822 南京邮电大学",6,09:28:35,,(-2),,"00:41:39 (-3)",02:23:29,01:59:04,"00:42:44 (-1)","01:31:41 (-1)",,,,00:29:58
128,"team582 福州大学",6,09:29:29,,,,00:12:23,01:51:19,"02:28:43 (-2)",00:20:12,"02:53:16 (-1)",,(-6),,00:43:36
129,"team584 福州大学",6,09:31:50,,,,"00:23:22 (-1)",01:33:12,02:08:41,00:37:25,03:16:25,,(-1),,01:12:45
130,"team1042 吉林大学",6,09:31:57,,,,"00:13:21 (-1)",01:19:18,"02:21:35 (-2)",00:32:01,02:45:42,,(-5),,"01:00:00 (-1)"
131,"team051 东北大学",6,09:36:25,,,,"00:15:23 (-1)",01:04:22,"02:15:47 (-2)",00:44:13,02:45:17,,(-2),,01:31:23
132,"team853 华中科技大学",6,09:42:26,,,,00:10:49,01:49:53,"02:15:16 (-1)",00:46:04,02:38:16,,,,"01:02:08 (-2)"
133,"team841 南京大学",6,09:44:47,(-1),,,"00:21:13 (-1)",01:26:40,"02:21:24 (-2)",00:47:30,"02:49:55 (-1)",,,(-2),00:38:05
134,"team717 吉林大学",6,10:02:03,,,,"00:23:38 (-1)",00:49:19,"01:22:34 (-2)",00:24:18,"01:53:36 (-3)",,,,"02:28:38 (-2)"
135,"team064 浙江工业大学",6,10:11:16,,,,00:23:57,01:33:54,"02:05:05 (-1)","00:39:14 (-1)",02:52:09,,,,"01:36:57 (-1)"
136,"team310 北京邮电大学",6,10:14:22,,,,00:11:11,02:01:59,"02:35:31 (-1)",00:47:45,03:07:22,,,,01:10:34
137,"team424 中国矿业大学",6,10:17:07,,,,00:12:13,01:55:10,"02:25:07 (-1)",00:30:07,03:30:33,,,,"01:03:57 (-1)"
138,"team141 上海理工大学",6,10:19:58,,,,00:10:36,02:10:24,02:30:03,00:49:07,03:16:30,,(-1),,"01:03:18 (-1)"
139,"team811 重庆市育才中学",6,10:23:12,,,,00:15:18,00:57:06,01:13:10,"01:35:59 (-2)","04:12:06 (-2)",,,,00:49:33
140,"team884 河海大学",6,10:26:28,,,,00:14:46,02:07:44,01:14:14,00:51:23,"04:10:01 (-3)",,,,00:48:20
141,"team1000 金策工业综合大学",6,10:29:18,,,,00:26:33,00:24:26,"02:30:37 (-1)","01:46:40 (-1)","02:59:03 (-1)",,,,"01:01:59 (-1)"
142,"team814 重庆市育才中学",6,10:29:49,,,,"00:14:46 (-2)",01:21:27,"01:36:34 (-2)",00:21:40,"04:40:29 (-1)",,(-1),,00:34:53
143,"team268 北京理工大学",6,10:31:05,,,,00:21:21,"01:30:45 (-1)",02:33:13,00:34:32,03:30:17,,,,"01:20:57 (-1)"
144,"team673 南京大学",6,10:34:43,,(-1),,"00:25:30 (-1)",01:35:08,02:04:47,"00:40:44 (-1)","03:33:36 (-1)",,,,01:14:58
145,"team585 福州大学",6,10:36:49,,,,"00:42:41 (-3)","01:18:41 (-1)","02:05:05 (-2)",00:45:54,"02:29:51 (-1)",,,,00:54:37
146,"team256 东华大学",6,10:37:40,,,,00:11:37,01:15:35,02:54:19,00:28:06,"03:35:27 (-2)",,,,01:32:36
147,"team694 华东师范大学",6,10:42:49,,,,"00:21:54 (-3)","01:45:02 (-3)",01:33:15,00:25:57,"03:17:24 (-2)",,,,00:39:17
148,"team116 南京外国语学校",6,10:50:04,,,,00:12:15,"01:20:10 (-1)","01:37:09 (-1)","00:27:57 (-1)","04:02:27 (-2)",,,,"00:50:06 (-2)"
149,"team702 中南大学",6,10:50:25,,,,"00:28:07 (-1)",01:24:38,"02:46:38 (-1)",01:09:20,"03:00:12 (-2)",,(-1),,00:41:30
150,"team222 大连海事大学",6,11:06:42,,,,00:15:32,01:49:05,"03:04:05 (-1)",00:23:46,"03:42:40 (-1)",,,,01:11:34
151,"team392 湖南大学",6,11:14:35,,,,00:34:20,"02:05:20 (-1)",02:21:26,00:42:55,"03:20:57 (-1)",,(-3),,01:29:37
152,"team271 北京理工大学",6,11:17:29,,,,00:16:26,"03:02:17 (-2)",01:35:44,00:41:25,03:36:55,,,,"01:04:42 (-1)"
153,"team576 南京理工大学",6,11:19:21,,,,00:14:20,03:18:03,02:53:54,01:11:38,02:30:57,,,,"00:50:29 (-1)"
154,"team1025 贵州大学",6,11:20:50,,,,"00:22:45 (-1)",01:41:30,02:40:03,00:58:35,"03:19:39 (-2)",,(-14),,01:18:18
155,"team1009 杭州电子科技大学",6,11:24:07,,,,"00:21:14 (-1)",01:29:08,"02:01:30 (-1)",00:39:47,"04:26:25 (-1)",,,,"00:46:03 (-2)"
