Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
30,"team726 武汉大学",9,39:30:04,"00:13:45 (-2)","01:42:23 (-1)","03:35:07 (-3)","02:33:24 (-5)","03:49:05 (-1)",00:54:22,"04:31:24 (-40)","01:41:57 (-2)",,"01:48:37 (-2)",
31,"team378 中国石油大学（北京）",8,11:03:59,00:09:40,00:16:53,02:25:55,01:03:30,03:10:40,"00:50:37 (-2)",,01:36:59,,"00:29:45 (-1)",
32,"team670 南方科技大学",8,11:50:56,00:04:26,"00:27:44 (-1)","01:18:58 (-4)",00:46:07,"03:01:50 (-1)","01:36:07 (-1)",(-2),02:00:26,,00:15:18,
33,"team1145 山河大学",8,14:33:07,00:02:36,00:24:06,"02:26:27 (-8)","01:10:27 (-1)","00:52:04 (-2)","01:09:11 (-1)",(-7),"03:34:12 (-1)",,00:34:04,
34,"team619 南昌大学",8,14:55:53,00:08:01,00:51:08,02:41:12,"01:47:14 (-4)","02:10:00 (-1)",01:10:46,,03:54:58,,00:32:34,
35,"team222 北京交通大学",8,17:48:46,"00:09:26 (-1)","01:13:40 (-2)",03:46:18,"01:35:42 (-1)","04:07:45 (-4)",00:57:49,,"02:39:22 (-1)",,00:18:44,
36,"team1135 清华大学",8,18:07:27,00:23:55,00:33:04,"03:26:29 (-5)",01:05:49,"04:25:37 (-3)",01:14:36,,"01:26:46 (-2)",,02:11:11,
37,"team675 南方科技大学",8,18:40:32,00:07:00,00:49:31,"03:33:36 (-2)",02:09:07,"04:40:41 (-5)",02:04:03,(-1),01:31:53,,01:24:41,
38,"team943 杭州第二中学",8,19:06:19,00:04:38,00:17:01,(-28),00:55:44,03:28:17,"00:43:08 (-1)","03:47:53 (-20)","01:57:23 (-1)",,00:32:15,
39,"team281 华东师范大学",8,19:55:59,00:06:32,"01:03:10 (-2)","02:55:20 (-2)",02:08:22,"04:53:09 (-2)","01:37:07 (-1)",,03:05:54,,"01:26:25 (-1)",
40,"team101 浙江师范大学",8,19:59:55,"00:05:41 (-1)","00:38:20 (-3)","04:44:04 (-3)",01:22:28,"04:35:54 (-1)","01:02:45 (-1)",,"03:22:34 (-2)",,00:28:09,
41,"team021 东北大学",8,21:30:29,00:07:20,"00:40:44 (-1)","04:56:34 (-8)",01:04:29,"03:45:55 (-3)",01:35:14,,"04:13:49 (-2)",,00:26:24,
42,"team787 绍兴一中",8,22:29:41,"00:07:16 (-2)","01:16:47 (-3)",(-4),"02:02:04 (-4)",04:10:09,01:25:37,03:59:51,"03:32:03 (-6)",,"00:35:54 (-1)",
43,"team306 南京外国语学校",8,23:08:51,"00:09:31 (-2)",00:24:21,"02:39:45 (-1)","02:00:04 (-5)","03:50:16 (-7)","01:19:09 (-2)","04:07:30 (-6)",,,00:58:15,
44,"team439 武汉大学",8,26:18:18,"00:43:11 (-5)","01:46:40 (-1)","01:19:28 (-7)","01:32:52 (-2)","04:49:41 (-5)",01:39:55,,"04:10:32 (-3)",,"02:15:59 (-1)",
45,"team182 南京大学",8,26:41:04,00:15:06,00:31:38,,"02:10:49 (-3)",04:40:20,00:39:56,"03:54:23 (-32)",02:36:18,,00:12:34,
46,"team312 南京外国语学校",8,29:16:43,"00:22:58 (-6)","00:52:44 (-2)",(-11),00:28:14,"02:53:24 (-4)","00:12:50 (-1)","03:50:00 (-39)",02:41:31,,00:35:02,
47,"team311 南京外国语学校",8,29:39:23,"00:14:14 (-3)","00:39:58 (-3)",(-4),00:55:20,"02:00:09 (-3)",01:07:07,"03:00:58 (-38)","02:37:56 (-7)",,01:03:41,
48,"team226 湖南理工学院",7,10:18:54,00:06:52,"02:01:21 (-1)",01:42:20,01:07:06,(-2),00:26:25,,03:53:22,,00:41:28,(-1)
49,"team730 四川大学",7,10:24:57,00:11:15,00:39:53,"02:40:09 (-1)",01:14:47,"02:36:19 (-3)","00:25:37 (-1)",,,,00:56:57,
50,"team741 重庆一中",7,12:42:35,00:08:19,"00:29:59 (-3)","02:20:03 (-1)","01:21:14 (-1)","04:45:26 (-1)",00:46:49,,(-4),,00:50:45,
51,"team1144 山河大学",7,12:45:25,00:06:12,00:30:33,"03:06:45 (-3)",01:43:11,04:20:00,00:49:33,,(-5),,01:09:11,
52,"team987 华南师范大学附属中学",7,13:26:29,00:04:13,00:20:56,"03:49:54 (-13)",00:12:05,"01:50:19 (-1)","00:45:51 (-2)",,(-14),,01:03:11,
53,"team320 南京外国语学校",7,13:27:39,"00:08:15 (-1)","01:33:58 (-1)",(-9),01:47:03,"02:31:52 (-2)","01:08:11 (-1)",03:02:26,(-3),,"01:15:54 (-1)",
54,"team733 四川大学",7,13:45:20,"00:11:32 (-2)",00:46:01,"04:59:02 (-3)",02:15:00,(-2),01:12:48,01:41:16,(-1),,"00:39:41 (-1)",
55,"team582 哈尔滨工业大学",7,14:02:09,"00:10:23 (-1)","02:11:41 (-3)",(-3),"01:17:10 (-2)","04:27:09 (-1)","00:27:30 (-1)",,02:11:37,,00:36:39,
56,"team309 南京外国语学校",7,14:02:18,"00:19:02 (-2)",00:09:33,"03:27:06 (-3)",01:39:49,,01:31:33,04:29:17,,,00:45:58,
57,"team905 南京理工大学",7,14:53:58,00:03:53,01:37:57,"03:51:54 (-2)",01:54:12,(-3),01:18:50,(-47),"02:56:27 (-5)",,00:50:45,
58,"team521 华中科技大学",7,15:06:10,"00:10:57 (-2)","01:02:14 (-1)",(-12),"00:22:23 (-1)","03:10:44 (-2)",00:46:53,,"04:46:37 (-6)",,00:46:22,
59,"team789 绍兴一中",7,15:09:08,00:16:48,"00:51:10 (-2)",,01:50:15,04:21:21,01:30:33,,"03:15:15 (-4)",,01:03:46,
60,"team671 南方科技大学",7,15:39:46,"00:12:57 (-1)",00:50:19,"02:59:23 (-2)","01:18:32 (-2)","04:49:47 (-2)",01:27:36,,(-16),,"00:41:12 (-3)",
61,"team891 青岛科技大学",7,15:42:37,"00:16:22 (-1)",01:27:46,"03:05:32 (-6)",01:52:14,(-9),01:42:06,,02:20:52,,"01:17:45 (-4)",
62,"team870 复旦大学",7,16:44:55,"00:09:33 (-1)","01:31:29 (-1)","03:05:00 (-1)",02:44:19,,"01:49:42 (-2)",(-16),03:46:20,,01:58:32,
63,"team397 西安电子科技大学",7,16:49:34,00:09:43,"01:59:37 (-1)",04:43:16,"01:34:35 (-2)",,"00:31:44 (-1)",(-5),03:10:54,,"02:19:45 (-3)",
64,"team191 广东工业大学",7,16:50:52,"00:31:45 (-2)",01:17:56,,00:42:48,04:35:16,"03:27:49 (-1)",,03:09:27,,"01:25:51 (-2)",
65,"team529 华中科技大学",7,17:29:55,"00:13:41 (-1)","02:29:28 (-4)","02:34:59 (-3)",03:21:59,"04:10:38 (-1)",01:15:11,,,,00:23:59,
66,"team835 中国地质大学（北京）",7,18:08:36,"00:27:23 (-5)","01:05:07 (-2)",(-13),03:33:23,,"01:55:15 (-2)",03:52:46,02:42:01,,01:32:41,
67,"team899 武汉理工大学",7,18:56:34,00:05:18,01:18:23,"04:22:47 (-12)","02:05:43 (-1)",,01:42:44,,"03:10:41 (-1)",,01:30:58,
68,"team492 深圳中学",7,18:58:26,"00:14:54 (-2)",00:59:28,"03:55:39 (-7)",02:04:53,"01:26:25 (-4)",01:46:51,,,,04:10:16,
